"uuid:ID","id","text","name"
"38dfc32a-af95-4963-bd62-83c9a2755e9e","TransitionRule_1","Subject identified","ENCOUNTER_START_RULE_1"
"3ad61ee1-94a9-4fd3-9df6-95140e254277","TransitionRule_2","IEs passed","ENCOUNTER_START_RULE_1"
"4e079f7f-2325-4eb4-b587-d10ad0608fbd","TransitionRule_3","Radomized","ENCOUNTER_START_RULE_3"
"8d6ec178-9a22-4190-a906-2167bb21b957","TransitionRule_4","Study Start","ELEMENT_START_RULE_1"
"43959851-2e91-4cd0-ba90-b1e413d6b81d","TransitionRule_5","Screened","ELEMENT_END_RULE_1"
"83ab6b6d-4f8a-47a1-a7e0-cfa41ff71587","TransitionRule_6","Screened","ELEMENT_START_RULE_2"
"3e0867ff-4e55-472a-b6f2-eebe7048aaaf","TransitionRule_7","Radomized","ELEMENT_END_RULE_2"
"b5c38b75-2d1a-44dd-a46f-08a6e41bb37e","TransitionRule_8","Radomized","ELEMENT_START_RULE_3"
"1b568709-79e8-4140-9874-19510169d2cc","TransitionRule_9","Completed treatment 1","ELEMENT_END_RULE_3"
"031bbd3f-b1db-48c1-9c97-60c225a6d96b","TransitionRule_12","Radomized","ELEMENT_START_RULE_5"
"cbe2466c-bdb0-4e52-b0ab-ef9a0949fe97","TransitionRule_13","Completed treatment 2","ELEMENT_END_RULE_5"
"36033d2a-f063-4f97-8468-e4d57298a505","TransitionRule_10","Treated","ELEMENT_START_RULE_4"
"8325cf95-9aa7-4fa2-827a-f200983b9ae8","TransitionRule_11","Leave Study","ELEMENT_END_RULE_4"
