"uuid:ID","id","codeSystem","decode","code","codeSystemVersion"
"cd9a2456-5d54-42c6-934d-2ffd75e4643f","Code_1","http://www.cdisc.org","Interventional Study","C98388","2023-09-29"
"355d143d-a5f5-4189-a654-1fdfa35869a2","Code_2","http://www.cdisc.org","Phase III Trial","C15602","2023-09-29"
"ebef048f-b01d-4f43-babf-c7c456d11f8c","Code_6","http://www.cdisc.org","Sponsor Approval Date","C132352","2023-09-29"
"d326111f-859f-4bc8-ac5d-396b4a04d2fe","Code_8","http://www.cdisc.org","Country","C25464","2023-09-29"
"4c0b3f05-43b7-4db0-9ddf-c670956562a6","Code_7","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","GBR","2020-08"
"249c0967-2e14-4f04-a954-d872d53dc3ea","Code_10","http://www.cdisc.org","Country","C25464","2023-09-29"
"9d5c2a7c-4663-44c3-8c78-d3951f57020f","Code_9","ISO 3166 1 alpha3","France","FRA","2020-08"
"316ac61e-8d54-4675-9653-a711570e099d","Code_12","http://www.cdisc.org","Region","C41129","2023-09-29"
"c7356c71-55d8-4af9-8163-d885603abc8d","Code_11","ISO 3166 1 alpha3","Asia","142","2020-08"
"b376a6c7-84e7-4e4c-a61e-e9a1f6e2a9f2","Code_14","http://www.cdisc.org","Country","C25464","2023-09-29"
"e989a625-e175-4b79-9cd8-efe6103d8da0","Code_13","ISO 3166 1 alpha3","United States of America","USA","2020-08"
"25cea680-8f2b-45f2-a74d-ddddd0f7f517","Code_43","http://www.cdisc.org","Other","C17649","2023-09-29"
"e24f8fe5-c004-4fe0-aeab-6dd1ef834719","Code_45","http://www.cdisc.org","Region","C41129","2023-09-29"
"cefc530c-b75d-43e1-abdd-96ef2cfe6f0c","Code_44","ISO 3166 1 alpha3","Europe","150","2020-08"
"a8e576d2-8ec8-4bb1-9b50-359d5ffcd355","Code_40","http://www.cdisc.org","Change In Strategy","C99904x7","2023-09-29"
"e06f95b4-5bc7-4a98-8dfc-64c80fc6dc6a","Code_41","http://www.cdisc.org","Investigator/Site Feedback","C99904x10","2023-09-29"
"0fb338e3-7cdd-4e10-95cf-1839b5311ec6","Code_42","http://www.cdisc.org","Global","C68846","2023-09-29"
"13d79b18-c5fb-4f58-9272-7a96724e8c8f","Code_35","http://www.cdisc.org","New Safety Information Available","C99904x4","2023-09-29"
"0043a3a7-f897-4fbd-b4da-0c2911af9e21","Code_37","http://www.cdisc.org","Region","C41129","2023-09-29"
