"name","sectionNumber","uuid:ID","text","sectionTitle","id"
"ROOT","0","d5cde9e4-479e-4d41-a8a1-24025b3bd649","","Root","NarrativeContent_1"
"SECTION 1","1","9c27ee74-d419-4838-b944-8fc484a2cc75","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","NarrativeContent_2"
"SECTION 1.1","1.1","97baacc9-e404-414a-9cd9-8ae1050492d7","<div></div>","Protocol Synopsis","NarrativeContent_3"
"SECTION 1.2","1.2","785f035b-0501-4b82-881d-6c7c5521e836","<div></div>","Trial Schema","NarrativeContent_4"
"SECTION 1.3","1.3","06a337e2-3bac-468d-8d54-792b47497f0a","<div></div>","Schedule of Activities","NarrativeContent_5"
"SECTION 2","2","a58e6cf7-2c40-4b67-8244-238e1950140e","<div></div>","INTRODUCTION","NarrativeContent_6"
"SECTION 2.1","2.1","54c72f71-fa0d-465f-8848-1e68468fe58a","<div></div>","Purpose of Trial","NarrativeContent_7"
"SECTION 2.2","2.2","9bc48220-4230-4695-9c4b-474d72cef8af","<div></div>","Summary of Benefits and Risks","NarrativeContent_8"
"SECTION 3","3","8e9b7fdf-0e55-454e-92dc-5ed63c9107b3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9"
"SECTION 3.1","3.1","1d89de2d-7370-4849-93d8-3ea29d9afd7e","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","NarrativeContent_10"
"SECTION 4","4","a69ce647-a65a-43aa-916b-713104d09516","<div></div>","TRIAL DESIGN","NarrativeContent_11"
"SECTION 4.1","4.1","ca182386-e5c6-4013-9bc0-8a50095ad5d3","<div></div>","Description of Trial Design","NarrativeContent_12"
"SECTION 4.1.1","4.1.1","1d4ff262-8f44-41db-9acd-eae371b24bad","<div></div>","Participant Input into Design","NarrativeContent_13"
"SECTION 4.2","4.2","bb69c810-ede1-4e2f-a6bb-24da9bb34e5d","<div></div>","Rationale for Trial Design","NarrativeContent_14"
