"name","uuid:ID","description","label","text","id"
"ENCOUNTER_START_RULE_1","9729de9a-f08b-419b-8698-2f60e0972371","","","Subject identified","TransitionRule_1"
"ENCOUNTER_START_RULE_1","d107d57a-f805-4e67-b681-246350ee1381","","","IEs passed","TransitionRule_2"
"ENCOUNTER_START_RULE_3","a7bca9fe-0c9b-410c-89d5-8b02f37b4110","","","Radomized","TransitionRule_3"
"ELEMENT_START_RULE_1","e94b6997-4096-4b2b-aeaf-06a861b2e141","","","Study Start","TransitionRule_4"
"ELEMENT_END_RULE_1","2fda8944-6237-4ea6-bb1a-f4e9bd1a58cf","","","Screened","TransitionRule_5"
"ELEMENT_START_RULE_2","db344ced-c350-4834-a71a-28e9db13e7cf","","","Screened","TransitionRule_6"
"ELEMENT_END_RULE_2","d702ebfe-9829-47da-8eef-931ad3405595","","","Radomized","TransitionRule_7"
"ELEMENT_START_RULE_3","2149a6e1-6c54-45d0-ac8b-4a988658fb7a","","","Radomized","TransitionRule_8"
"ELEMENT_END_RULE_3","9b551146-de28-46a9-8197-8dcc3e713b8d","","","Completed treatment 1","TransitionRule_9"
"ELEMENT_START_RULE_5","99312b65-fcc4-4047-bdf5-0abbd2bcfa84","","","Radomized","TransitionRule_12"
"ELEMENT_END_RULE_5","e504a018-490c-4344-98ae-d4b6c7e198c2","","","Completed treatment 2","TransitionRule_13"
"ELEMENT_START_RULE_4","00430dce-631a-4ada-b748-b8f389b23173","","","Treated","TransitionRule_10"
"ELEMENT_END_RULE_4","de30dfe0-463f-4fa3-8ef6-c32ab3904799","","","Leave Study","TransitionRule_11"
