"name","instanceType","uuid:ID","description","purpose","label","id","text"
"END1","ENDPOINT","9f2728f2-acaf-4e21-9318-0e5e8dd066b0","","","","Endpoint_1","Clinical status assessed using a 7-category ordinal scale at Day 28"
"END2","ENDPOINT","a6e069fb-14ce-4ed1-9a30-9772ddbb86af","","","","Endpoint_2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours"
"END3","ENDPOINT","bda98241-28f9-46a4-8564-bf06c79679de","","","","Endpoint_3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status"
"END4","ENDPOINT","2f54d519-7e75-4ac1-adde-8359bab51c3a","","","","Endpoint_4","Incidence of mechanical ventilation"
"END5","ENDPOINT","95d904b9-0e3c-4c5d-9e31-f2b352e5d4a1","","","","Endpoint_5","Ventilator-free days to Day 28"
"END6","ENDPOINT","2447eb81-5f34-4904-9e18-8f78876b8e8c","","","","Endpoint_6","Incidence of intensive care unit (ICU) stay"
"END7","ENDPOINT","8679ba9d-e381-42be-bfe5-e5bd45b32e4c","","","","Endpoint_7","Duration of ICU stay"
"END8","ENDPOINT","d468246b-6b78-4dc4-bf1c-72bc23a479b9","","","","Endpoint_8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death."
"END9","ENDPOINT","ea9fb709-49b3-4232-a64f-17d42083b2ca","","","","Endpoint_9","Mortality rate at Days 7, 14, 21, 28, and 60"
"END10","ENDPOINT","dedfef77-a6d4-4820-9576-17ac34c4c346","","","","Endpoint_10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)"
"END11","ENDPOINT","34dd097a-aa82-491e-8ec8-9bb0ece1eb9e","","","","Endpoint_11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen"
"END12","ENDPOINT","97681e1e-f133-492c-8581-92947a1e5ec8","","","","Endpoint_12","Duration of supplemental oxygen"
