"name","uuid:ID","instanceType","text","id"
"ENCOUNTER_START_RULE_1","1fb0070e-cf70-475c-850c-b580bb3308a2","TransitionRule","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","e95f9806-b5ce-48b5-93ee-b60f7b6100e6","TransitionRule","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","cc8d1ca0-5e95-4e80-8805-f0a43092d67e","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","6ae121c3-33b0-4bdf-866f-1b6616ba5e17","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","5a5f4ce4-3874-4638-82e4-83c85cb19239","TransitionRule","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","90f5cddd-f580-4857-825e-1df7231088aa","TransitionRule","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","eb2f8973-3809-44bf-a2df-d890a496ccd1","TransitionRule","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","9b65885d-2e04-4466-adf1-99e8174f74e7","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","b1d259c4-8bb9-470d-9fa3-f266fdacf424","TransitionRule","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","86bc7b26-3067-4f03-bcb7-0579b853c84f","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","29000144-bd2f-4232-b179-39f851492d55","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","8d01cfdc-76e8-4ab7-a56b-2d0855aaefbb","TransitionRule","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","aa8c88d7-9834-45e6-84f8-769a03de805f","TransitionRule","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","06431c05-e88e-4efa-b9d3-e27e4ea9717f","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","86577e37-9398-4672-b08d-615bfdf2b546","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
