"uuid:ID","instanceType","decode","id","code","codeSystemVersion","codeSystem"
"e9b148cc-9b0d-498a-a7f3-a0d5bc9f46c7","Code","Interventional Study","Code_1","C98388","2023-12-15","http://www.cdisc.org"
"96f76576-e959-44a2-a836-62a93fd812a8","Code","Phase II Trial","Code_2","C15601","2023-12-15","http://www.cdisc.org"
"758257f9-7782-4a64-962b-e704679ce995","Code","Sponsor Approval Date","Code_9","C132352","2023-12-15","http://www.cdisc.org"
"1d63ac64-b5ed-48d7-962c-37792a20491d","Code","Global","Code_10","C68846","2023-12-15","http://www.cdisc.org"
"7bbb227c-b121-41ab-abc2-904563599fa5","Code","IRB/IEC Feedback","Code_72","C99904x3","2023-12-15","http://www.cdisc.org"
"f9605319-c9e2-4138-943a-83535f27f8f3","Code","Other","Code_73","C17649","2023-12-15","http://www.cdisc.org"
"4f27e3b6-041a-4163-a419-33053cca01f1","Code","Region","Code_75","C41129","2023-12-15","http://www.cdisc.org"
"9ec628a5-d97f-4f80-9ee5-15e44792de03","Code","Europe","Code_74","150","2020-08","ISO 3166 1 alpha3"
"86295e51-ff8f-467d-b5c5-340c5afcac3e","Code","Eli Lilly","Code_4","PHARMA","12","SPONSOR"
"5f2186bc-9f0f-4431-931a-bd426262687d","Code","Clinical Study Sponsor","Code_76","C70793","2023-12-15","http://www.cdisc.org"
"7b9e410a-616f-4f44-b9e2-c655e4705125","Code","United States of America","Code_77","USA","2020-08","ISO 3166 1 alpha3"
"570b47b5-700c-408c-a27d-de2a8788b2e0","Code","Study Registry","Code_78","C93453","2023-12-15","http://www.cdisc.org"
"da379a38-097b-4df4-af6b-2892fcc52835","Code","United States of America","Code_79","USA","2020-08","ISO 3166 1 alpha3"
"dddb1780-f44a-4f1b-998a-f6f0dbbee9cc","Code","Treatment Study","Code_137","C49656","2023-12-15","http://www.cdisc.org"
"631a2273-7177-45a9-9833-f784bab14099","Code","Efficacy Study","Code_138","C49666","2023-12-15","http://www.cdisc.org"
"c7611a8f-6d92-4be3-b4f9-e51be9bd0f3d","Code","Safety Study","Code_139","C49667","2023-12-15","http://www.cdisc.org"
"f844364c-c09d-47be-a6e2-c6550afdc5de","Code","Pharmacokinetic Study","Code_140","C49663","2023-12-15","http://www.cdisc.org"
"6c6ec091-d790-495c-ab56-bddf29fbd7ca","Code","Mild to Moderate Alzheimer's Disease","Code_134","MILD_MOD_ALZ","12","SPONSOR"
"75765610-b086-44b1-a32b-cbbeed0aaba5","Code","Alzheimer's disease","Code_135","26929004","January 31, 2018","SNOMED"
"95c3cc16-2a91-4bbd-ba53-59cc36934265","Code","EXTENSION","Code_143","C99907x1","2023-12-15","http://www.cdisc.org"
"9041e4c3-f7af-4832-b12e-7078c56f1f53","Code","ADAPTIVE","Code_144","C98704","2023-12-15","http://www.cdisc.org"
