"name","windowUpper","valueLabel","uuid:ID","instanceType","windowLabel","value","description","windowLower","id","label"
"TIM1","","2 weeks","4fe74254-96d4-48dd-a62e-77c08ffb053e","Timing","","P2W","Screening timing","","Timing_1","Screening"
"TIM2","PT0H","2 days","69f4b46d-7b04-4189-bf99-3d4427a9d9e8","Timing","-4..0 hours","P2D","Pre dose timing","PT4H","Timing_2","Pre dose"
"TIM3","","1 Day","6d80f2e0-cecb-4f44-b2f2-3d5eba15421c","Timing","","P1D","Dosing anchor","","Timing_3","Dosing"
"TIM4","P3D","2 Weeks","b14862a6-1683-41b7-9345-478466b5b3da","Timing","-3..3 days","P2W","Week 2 timing","P3D","Timing_4","Week 2"
"TIM5","P3D","4 Weeks","3547471f-a58e-425a-911d-8253f533dbee","Timing","-3..3 days","P4W","Week 4 timing","P3D","Timing_5","Week 4"
"TIM6","P3D","6 Weeks","f18a3599-46fa-4dac-8954-af84bee43f9e","Timing","-3..3 days","P6W","Week 6 timing","P3D","Timing_6","Week 6"
"TIM7","P3D","8 Weeks","a1f63890-4a4e-472a-b36e-c1ccdc5e5ddb","Timing","-3..3 days","P8W","Week 8 timing","P3D","Timing_7","Week 8"
"TIM9","P4D","12 Weeks","95afe5d8-4d99-420e-ade6-ef6026754fcb","Timing","-4..4 days","P12W","Week 12 timing","P4D","Timing_9","Week 12"
"TIM11","P4D","16 Weeks","617590e8-0797-4561-9562-cf8fe1e76b1f","Timing","-4..4 days","P16W","Week 16 timing","P4D","Timing_11","Week 16"
"TIM13","P4D","20 Weeks","9ae46f7f-c98e-4abb-8612-4405e22a1fcb","Timing","-4..4 days","P20W","Week 20 timing","P4D","Timing_13","Week 20"
"TIM15","P4D","24 Weeks","0f20abd3-c09e-4437-9dca-1b3a6155159f","Timing","-4..4 days","P24W","Week 24 timing","P4D","Timing_15","Week 24"
"TIM16","P3D","26 Weeks","734dbdbe-db92-4c64-b855-4d52eac0a143","Timing","-3..3 days","P26W","Week 26 timing","P3D","Timing_16","Week 26"
"TIM8","","2 Weeks","d417e65f-9224-4845-abc5-0ee5442ad75a","Timing","","P2W","Week 8 at home timing","","Timing_8","Week 8 Home"
"TIM10","","2 Weeks","414b3347-2bf2-460f-b9ab-6d5285ab83b0","Timing","","P2W","Week 12 at home timing","","Timing_10","Week 12 Home"
"TIM12","","2 Weeks","99fe0386-a897-4b74-bacf-5c2d925f08d5","Timing","","P2W","Week 16 at home timing","","Timing_12","Week 16 Home"
"TIM14","","2 Weeks","98bc1894-331b-4429-9785-e1dac0ae0f63","Timing","","P2W","Week 20 at home timing","","Timing_14","Week 20 Home"
"TIM17","","1 Day","09188b59-39f3-49e9-9e1b-225ff6cc573b","Timing","","P1D","Adverse Event","","Timing_17","Adverse Event"
"TIM18","","1 Day","f6ca2a55-87a8-4e4e-8d4e-1f0d96066bdb","Timing","","P1D","Early Termination","","Timing_18","Early Termination"
"TIM19","","0 mins","77fbe35c-ca80-4a23-82f2-0c2568a2f925","Timing","","PT0M","Supine","","Timing_19","Supine"
"TIM20","","5 mins","b586c942-2ecc-4f06-b72d-7a729b105ae2","Timing","","PT5M","VS while supine","","Timing_20","VS while supine"
"TIM21","","0 min","c38b576e-a198-40ef-ae04-0a2317138d46","Timing","","PT0M","Standing","","Timing_21","Standing"
"TIM22","","1 min","6cbcbef0-b8dd-45ac-a556-ce0968bae8e3","Timing","","PT1M","VS while standing","","Timing_22","VS while standing"
"TIM23","","0 min","b0e7e365-1eb5-4a1c-9b1b-f63de9821e76","Timing","","PT0M","Standing","","Timing_23","Standing"
"TIM24","","2 min","fe2d9957-1cdd-4322-88b8-8f23eda18bdb","Timing","","PT2M","VS while standing","","Timing_24","VS while standing"
