"name","uuid:ID","instanceType","id","reference","synonyms","label"
"Informed Consent Obtained","3abf2c63-4a97-491b-9bb8-b7e37c96b322","BiomedicalConcept","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"Sex","d38d2dc7-0058-4873-ab90-b5328c9fa16e","BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","Sex"
"Race","f71dbb5c-da90-4ce8-afd0-680e5e621be0","BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","Race"
"Temperature","47de5e5a-43b4-436e-b7c2-76d94c513eba","BiomedicalConcept","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature"
"Weight","1243757c-c45c-441a-9b99-c7824f5f98fa","BiomedicalConcept","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight"
"Height","f1a30f90-bdd6-41fa-af11-23e544368e88","BiomedicalConcept","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","9b0357f2-14c5-4579-8ada-0dd61f8edb8d","BiomedicalConcept","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","ff28c19b-2916-4039-bcbb-bbb7bacedce1","BiomedicalConcept","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","0b3bab34-3225-4d5e-b840-ed61c93e414f","BiomedicalConcept","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","917b7f06-0415-4dd6-bf15-d9e679745192","BiomedicalConcept","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","56bd0c9d-6413-43d0-b0f3-b01fed8502a4","BiomedicalConcept","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","1bfed30d-3ec0-4a7a-ad66-83bf6057c6d2","BiomedicalConcept","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"Sodium Concentration in Urine","2a0fd239-c6c2-4559-9c42-e173f574f51e","BiomedicalConcept","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","fc11202b-4a87-4a48-9da1-1436cc802939","BiomedicalConcept","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","4008406b-ee3b-431a-8d90-529a0252003f","BiomedicalConcept","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"Systolic Blood Pressure","87208ea4-52b1-4684-98a7-68f08468518b","BiomedicalConcept","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"Diastolic Blood Pressure","d123fde2-7b16-46c6-9cf3-b188091c291f","BiomedicalConcept","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"Temperature","ee04da6e-640f-4d0d-90cf-d39beec23de7","BiomedicalConcept","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature"
"Weight","c5fbc353-7b0b-4171-a39f-087e2dacfcc3","BiomedicalConcept","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight"
"Height","94ebc5b9-3a57-473c-9592-78a9d8dc0bd8","BiomedicalConcept","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","d5564f55-5340-478c-a65f-aba8b1c8e659","BiomedicalConcept","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
