"name","uuid:ID","instanceType","description","id","label"
"SCREEN1","29af1b70-873e-4767-aa81-579c6f819246","ScheduledActivityInstance","-","ScheduledActivityInstance_9","Screen One"
"SCREEN2","6f0e85b5-5b69-4af7-9082-a5031e21d4ea","ScheduledActivityInstance","-","ScheduledActivityInstance_10","Screen Two"
"DOSE","a8665302-a279-4204-850a-02f1e03755df","ScheduledActivityInstance","-","ScheduledActivityInstance_11","Dose"
"WK2","29d79a8d-15c7-4b55-9bc5-2dbb24cfde51","ScheduledActivityInstance","-","ScheduledActivityInstance_12","Week 2"
"WK4","e4c65729-9ff1-4bcb-a2ab-9289a5d6bbae","ScheduledActivityInstance","-","ScheduledActivityInstance_13","Week 4"
"WK6","f8f28f07-3ce5-44ea-82de-1d0396c26092","ScheduledActivityInstance","-","ScheduledActivityInstance_14","Week 6"
"WK8","384d0179-1a90-4c84-9908-e8279951c8e3","ScheduledActivityInstance","-","ScheduledActivityInstance_15","Week 8"
"WK8N","8390610b-6fb4-46f5-8e31-b532a8e485ff","ScheduledActivityInstance","-","ScheduledActivityInstance_16","Week NPI"
"WK12","7cd91ee2-903d-4b74-aa2b-3d9052df67b8","ScheduledActivityInstance","-","ScheduledActivityInstance_17","Week 12"
"WK12N","658a04ec-265e-4fa2-8670-ce3327f2b714","ScheduledActivityInstance","-","ScheduledActivityInstance_18","Week 12 NPI"
"WK16","04ce9f50-56ae-4007-a469-ee317d2c4283","ScheduledActivityInstance","-","ScheduledActivityInstance_19","Week 16"
"WK16N","45ba6365-853c-41d3-9ce9-e493b2da20d4","ScheduledActivityInstance","-","ScheduledActivityInstance_20","Week 16 NPI"
"WK20","633393d7-ee61-4d52-8ce1-7a6591874aa3","ScheduledActivityInstance","-","ScheduledActivityInstance_21","Week 20"
"WK20N","e6b10a2b-f01b-4d79-b56f-b72c16ba4803","ScheduledActivityInstance","-","ScheduledActivityInstance_22","Week 20 NPI"
"WK24","165e7e1c-5dcf-4cb5-9815-fad69baac58b","ScheduledActivityInstance","-","ScheduledActivityInstance_23","Week 24"
"WK26","325827bc-c186-425a-ac8f-39e97c3cc734","ScheduledActivityInstance","-","ScheduledActivityInstance_24","Week 26"
"AE","5fa5b8c9-815e-409a-a077-c6f1e7ddcecb","ScheduledActivityInstance","-","ScheduledActivityInstance_1","Adevers Event"
"ET","5158d5c8-a7d2-46bc-9787-efc0a440c9ca","ScheduledActivityInstance","-","ScheduledActivityInstance_2","Early Termination"
"VS_5MIN","f44e264a-30f8-4812-97cc-e618b72e9ef1","ScheduledActivityInstance","","ScheduledActivityInstance_3","5 minute supine"
"VS_SUPINE","1b5e29e6-452f-4a68-b7e6-3e7158825467","ScheduledActivityInstance","","ScheduledActivityInstance_4","Vital signs supine"
"VS_1MIN","8e85143b-e82d-4c7c-bd70-6e14bb7f7b77","ScheduledActivityInstance","","ScheduledActivityInstance_5","1 minute standing"
"VS_STAND1","300caebd-a203-4a70-9808-0c8b135e8209","ScheduledActivityInstance","","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"VS_2MIN","2bd664ec-879b-4e4a-b213-6b49ed3e875c","ScheduledActivityInstance","","ScheduledActivityInstance_7","2 minute standing"
"VS_STAND3","0dde6687-4105-4fe0-af6d-b90ab07a4972","ScheduledActivityInstance","","ScheduledActivityInstance_8","Vital signs after 3 min standing"
