"name","uuid:ID","instanceType","description","id","label"
"E1","de03328d-74f1-464f-b507-59ffcb3b2fa9","Encounter","Screening encounter","Encounter_1","Screening 1"
"E2","62587425-4b6c-4212-8c81-b492e510670a","Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2"
"E3","48cb2f7a-6da5-4f78-abcf-ad1707628c8a","Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline"
"E4","f47b9f18-2d64-4119-9f29-46aa9be54c96","Encounter","Day 14","Encounter_4","Week 2"
"E5","bb71c566-ccd7-47d4-8f84-174a598d5e5c","Encounter","Day 28","Encounter_5","Week 4"
"E7","81010a4d-809b-499e-8659-db307a9847c9","Encounter","Day 42","Encounter_6","Week 6"
"E8","ac1414a7-e3df-4e38-9b44-8ddf3eddd752","Encounter","Day 56","Encounter_7","Week 8"
"E9","497f2ebc-63fd-40c3-9432-4bf872880d26","Encounter","Day 84","Encounter_8","Week 12"
"E10","587a53d3-dc0a-4bfc-9552-acb60aa640ab","Encounter","Day 112","Encounter_9","Week 16"
"E11","85f7a7e6-1b8e-4a18-a62b-b174801d482e","Encounter","Day 140","Encounter_10","Week 20"
"E12","a91e44d1-d1f3-42ab-acef-aa58f4ea2a2c","Encounter","Day 168","Encounter_11","Week 24"
"E13","39ec466d-68d3-4131-aae1-38f3278bde71","Encounter","Day 182","Encounter_12","Week 26"
