"text","id","name","uuid:ID"
"Subject identified","TransitionRule_1","ENCOUNTER_START_RULE_1","f87e97a2-2e70-434e-b4dc-123dd7bf18a4"
"IEs passed","TransitionRule_2","ENCOUNTER_START_RULE_1","ac99798b-bfbb-4cf4-aa9c-6a9023703b4e"
"Radomized","TransitionRule_3","ENCOUNTER_START_RULE_3","a15a6ec2-05c6-46ff-93f8-4f113182f6f0"
"Study Start","TransitionRule_4","ELEMENT_START_RULE_1","7499e873-eb5e-40b5-b3cc-e12f5d1bca94"
"Screened","TransitionRule_5","ELEMENT_END_RULE_1","151ef7e0-f58f-4aaa-bf55-ff2fc0200bc4"
"Screened","TransitionRule_6","ELEMENT_START_RULE_2","89429d89-f8e5-4f85-b873-c2eda3d29383"
"Radomized","TransitionRule_7","ELEMENT_END_RULE_2","368f71f2-f60d-468c-8f98-d13fa6127515"
"Radomized","TransitionRule_8","ELEMENT_START_RULE_3","5a438322-431e-44b1-a6d9-2acc40cb1b4c"
"Completed treatment 1","TransitionRule_9","ELEMENT_END_RULE_3","faec273e-53c5-48a4-a7ba-b8267e11b9a1"
"Radomized","TransitionRule_12","ELEMENT_START_RULE_5","1bb99d0e-4ac6-4a58-8826-244ac7ee7c6c"
"Completed treatment 2","TransitionRule_13","ELEMENT_END_RULE_5","da68ae51-4ac2-4d39-a143-f1f65478c83d"
"Treated","TransitionRule_10","ELEMENT_START_RULE_4","47d5e1c4-a84d-4363-8cab-5a81d194cd8e"
"Leave Study","TransitionRule_11","ELEMENT_END_RULE_4","a9b7b649-717b-4a1c-8cae-9a4c9fdcc274"
