"label","purpose","text","id","instanceType","description","name","uuid:ID"
"","","Clinical status assessed using a 7-category ordinal scale at Day 28","Endpoint_1","ENDPOINT","","END1","d8485f8c-6692-4487-9e56-21d65bf8b8b3"
"","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","Endpoint_2","ENDPOINT","","END2","6940e934-76bc-47c5-934d-3fbcf9a45e9c"
"","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","Endpoint_3","ENDPOINT","","END3","103a864f-6ad8-48fe-9388-c5ace84133c8"
"","","Incidence of mechanical ventilation","Endpoint_4","ENDPOINT","","END4","b5d2721f-a400-4702-a62f-ea97226f5d71"
"","","Ventilator-free days to Day 28","Endpoint_5","ENDPOINT","","END5","a2372333-032a-4c4c-b958-b7919a589bfc"
"","","Incidence of intensive care unit (ICU) stay","Endpoint_6","ENDPOINT","","END6","95213de1-fd07-4dc4-94c6-cfe125ac0bab"
"","","Duration of ICU stay","Endpoint_7","ENDPOINT","","END7","99858926-4ad2-43ef-a8cd-d48439e86ca8"
"","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","Endpoint_8","ENDPOINT","","END8","e2b2effa-2d6d-407d-bae8-987ad4722515"
"","","Mortality rate at Days 7, 14, 21, 28, and 60","Endpoint_9","ENDPOINT","","END9","d2492d8a-8b24-4941-845b-4486c925040f"
"","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","Endpoint_10","ENDPOINT","","END10","1dc4e13b-cbb9-48c3-8c0e-9484f5c10db4"
"","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","Endpoint_11","ENDPOINT","","END11","c5bdcbf3-a27b-437c-aa7c-14e830815f54"
"","","Duration of supplemental oxygen","Endpoint_12","ENDPOINT","","END12","7ccb08cd-14ed-4009-b4d4-ebfb6794c658"
