"text","id","sectionNumber","sectionTitle","name","uuid:ID"
"","NarrativeContent_1","0","Root","ROOT","01d88ea4-a883-4f8c-a695-55c6ee902cd3"
"<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","NarrativeContent_2","1","PROTOCOL SUMMARY","SECTION 1","0804d375-6656-4f33-8488-820902b0e49d"
"<div></div>","NarrativeContent_3","1.1","Protocol Synopsis","SECTION 1.1","74139ccb-6137-4105-bec5-c7ed1de2596d"
"<div></div>","NarrativeContent_4","1.2","Trial Schema","SECTION 1.2","73c68518-694d-46a0-add9-0e085e0ab862"
"<div></div>","NarrativeContent_5","1.3","Schedule of Activities","SECTION 1.3","6f5a7754-adf0-4b49-85cb-a7c8759bb822"
"<div></div>","NarrativeContent_6","2","INTRODUCTION","SECTION 2","307b46ef-1289-45ad-a520-6aed51bda6bc"
"<div></div>","NarrativeContent_7","2.1","Purpose of Trial","SECTION 2.1","7be885cb-4c28-4565-b193-ab143a56f29b"
"<div></div>","NarrativeContent_8","2.2","Summary of Benefits and Risks","SECTION 2.2","cf97770f-6b8a-449a-8e0d-9a56ca1bdbfc"
"<div></div>","NarrativeContent_9","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","4f78bb91-5a50-442a-9391-6685dae6ee8e"
"<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","NarrativeContent_10","3.1","Primary Objectives","SECTION 3.1","f3329976-abc5-4175-8be1-f0107eb7e679"
"<div></div>","NarrativeContent_11","4","TRIAL DESIGN","SECTION 4","515f5ff8-d615-4764-a873-d219378ee84a"
"<div></div>","NarrativeContent_12","4.1","Description of Trial Design","SECTION 4.1","3e4c07e9-c911-49fa-85c0-dcad216029a6"
"<div></div>","NarrativeContent_13","4.1.1","Participant Input into Design","SECTION 4.1.1","e516f308-d850-4b22-a479-6d7649314d55"
"<div></div>","NarrativeContent_14","4.2","Rationale for Trial Design","SECTION 4.2","3aaa69fe-21d2-4057-bfcf-f7e876af770d"
"<div></div>","NarrativeContent_15","4.2.1","Rationale for Comparator","SECTION 4.2.1","2afaa995-5f58-446d-900d-61779a4f8bad"
"<div></div>","NarrativeContent_16","4.2.2","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","22e82653-fbeb-4edc-b7ed-ce0b457ebdb7"
"<div></div>","NarrativeContent_17","4.2.3","Other Trial Design Considerations","SECTION 4.2.3","83288675-78a7-4d5e-9d9f-761ff162183a"
"<div></div>","NarrativeContent_18","4.3","Access to Trial Intervention After End of Trial","SECTION 4.3","3885c604-32dd-445f-bb10-739aa37641c6"
"<div></div>","NarrativeContent_19","4.4","Start of Trial and End of Trial","SECTION 4.4","f6a39273-b7ef-4adc-a8f5-02ec21fcc594"
"<div></div>","NarrativeContent_20","5","TRIAL POPULATION","SECTION 5","f64849aa-ff56-4d1b-a731-0d25b351108f"
"<div></div>","NarrativeContent_21","5.1","Selection of Trial Population","SECTION 5.1","894a9c17-a165-436c-98b2-5af0df09e094"
"<div></div>","NarrativeContent_22","5.2","Rationale for Trial Population","SECTION 5.2","90c50762-e5d0-4af6-a7b6-45923a610b36"
"<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","NarrativeContent_23","5.3","Inclusion Criteria","SECTION 5.3","bcc963ad-3479-403e-ab06-85987fbab5e3"
"<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","NarrativeContent_24","5.4","Exclusion Criteria","SECTION 5.4","ece88948-7daf-4843-a6e1-f13375d72b34"
"<div></div>","NarrativeContent_25","5.5","Lifestyle Considerations","SECTION 5.5","e98a0ca0-ed07-4be2-a444-b711e69068ac"
"<div></div>","NarrativeContent_26","5.5.1","Meals and Dietary Restrictions","SECTION 5.5.1","eebfa1ef-146b-4f75-8662-24d0a091d8a0"
"<div></div>","NarrativeContent_27","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","cb422a97-c143-451a-b2f0-3e25ee330fc7"
"<div></div>","NarrativeContent_28","5.5.3","Physical Activity","SECTION 5.5.3","dfa789ab-9597-4e32-98ea-ec7d698a8814"
"<div></div>","NarrativeContent_29","5.5.4","Other Activity","SECTION 5.5.4","faf123ce-db3b-4199-b36e-0204d754ea90"
"<div></div>","NarrativeContent_30","5.6","Screen Failures","SECTION 5.6","444ed8f2-5067-4449-88cc-24220f7acfbb"
"<div></div>","NarrativeContent_31","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","4a040f6f-7722-4fc2-9171-74d2ff6ea2d9"
"<div></div>","NarrativeContent_32","6.1","Description of Trial Intervention","SECTION 6.1","cb6e19af-ef52-4360-b064-ee843132cf09"
"<div></div>","NarrativeContent_33","6.2","Rationale for Trial Intervention","SECTION 6.2","ca64fabf-aa1d-4045-a75f-92bb5418c617"
"<div></div>","NarrativeContent_34","6.3","Dosing and Administration","SECTION 6.3","19c1d652-11c7-4135-ad7b-31cf4ea17abc"
"<div></div>","NarrativeContent_35","6.3.1","Trial Intervention Dose Modification","SECTION 6.3.1","9eca2487-f5cd-41ee-891b-809dc36647fd"
"<div></div>","NarrativeContent_36","6.4","Treatment of Overdose","SECTION 6.4","6c22b6d4-ad94-44be-bc21-dcadaa18445c"
"<div></div>","NarrativeContent_37","6.5","Preparation, Handling, Storage and Accountability","SECTION 6.5","65a05bd4-c509-4eaa-be3e-c47870047705"
"<div></div>","NarrativeContent_38","6.5.1","Preparation of Trial Intervention","SECTION 6.5.1","e19a0f01-3120-4e9c-88dc-abbcd1c2b800"
"<div></div>","NarrativeContent_39","6.5.2","Handling and Storage of Trial Intervention","SECTION 6.5.2","c69cd98f-e420-45dc-8a3d-1dba0db8d28d"
"<div></div>","NarrativeContent_40","6.5.3","Accountability of Trial Intervention","SECTION 6.5.3","2e8c3d08-055b-4d09-b084-6197cd514eca"
"<div></div>","NarrativeContent_41","6.6","Participant Assignment, Randomisation and Blinding","SECTION 6.6","6f248fc9-eca9-4bed-bcf6-78e71da540b7"
"<div></div>","NarrativeContent_42","6.6.1","Participant Assignment","SECTION 6.6.1","8fe06f25-1cf5-476b-8666-74fc93c34448"
