"code","id","decode","uuid:ID","codeSystemVersion","codeSystem"
"C98388","Code_1","Interventional Study","3b4673fd-5bf8-4cae-90d7-2720dbfd02ab","2023-09-29","http://www.cdisc.org"
"C15602","Code_2","Phase III Trial","b5b2a789-14ae-46fa-b73a-6e620af70b16","2023-09-29","http://www.cdisc.org"
"C132352","Code_6","Sponsor Approval Date","7c02bbc5-0da2-4c9c-92f4-4c062b0dd1bc","2023-09-29","http://www.cdisc.org"
"C68846","Code_7","Global","c1c831f1-579d-4e10-b0eb-19c0ea3b2b33","2023-09-29","http://www.cdisc.org"
"VAC","Code_3","Vacines Group","3eda193c-d869-43d8-9322-3d07d805ed89","12","SPONSOR"
"REG","Code_4","Regulatory","16a4787b-06cc-4838-8777-2410fbda546d","12","SPONSOR"
"C93453","Code_10","Study Registry","e8502570-58ca-44b9-817e-a9143a340ac9","2023-09-29","http://www.cdisc.org"
"GBR","Code_11","United Kingdom of Great Britain and Northern Ireland","78b6e300-34c0-46f9-85fc-b1444db23567","2020-08","ISO 3166 1 alpha3"
"C70793","Code_12","Clinical Study Sponsor","889601d2-a661-477b-b83b-5a2172968278","2023-09-29","http://www.cdisc.org"
"FRA","Code_13","France","c6cda55b-6fc8-4ce0-b74d-04bde22ae537","2020-08","ISO 3166 1 alpha3"
"C15714","Code_42","Basic Research","540fd0a5-44ec-4f10-81af-35a6bdd6de14","2023-09-29","http://www.cdisc.org"
"C139174","Code_43","Device Feasibility Study","7c00ff7a-b01a-47b0-85fc-e734b8ae436f","2023-09-29","http://www.cdisc.org"
"C49666","Code_44","Efficacy Study","c53bbb5e-e7ab-4ea2-b583-2cd50815afa3","2023-09-29","http://www.cdisc.org"
"T2_DIABETES","Code_39","Type 2 diabetes","c6c25f78-0f60-47da-93ab-fb0552582475","12","SPONSOR"
"73211009","Code_40","Diabetes mellitus (disorder)","6f63d793-4461-4587-a5ce-b29109a709a4","January 31, 2018","SNOMED"
"C82639","Code_45","Parallel Study","9bc6d1af-6e0a-467d-82fb-5fc3a091a04a","2023-09-29","http://www.cdisc.org"
"C25716","Code_16","Visit","96c801a2-2010-4a72-8795-0aed52e860da","2023-09-29","http://www.cdisc.org"
"C51282","Code_17","Clinic","93cb2c58-3ca1-4f01-8f34-6330d1b51e33","2023-09-29","http://www.cdisc.org"
"C175574","Code_18","In Person","edbbd870-6ccf-4273-941f-ef783908c048","2023-09-29","http://www.cdisc.org"
"C25716","Code_19","Visit","0a4f2c13-5840-4c84-9f5c-0f160d0342a6","2023-09-29","http://www.cdisc.org"
"C51282","Code_20","Clinic","e546da82-b1b1-4985-8f5e-577a7bf3eb28","2023-09-29","http://www.cdisc.org"
"C175574","Code_21","In Person","0385501e-b91d-4526-a451-5e17d0fc0c55","2023-09-29","http://www.cdisc.org"
"C25716","Code_22","Visit","3a0a4e64-7fd2-415c-b673-6c4778dd1d7e","2023-09-29","http://www.cdisc.org"
"C51282","Code_23","Clinic","36153960-2125-44d8-a12b-428482c22ffe","2023-09-29","http://www.cdisc.org"
