"label","instanceType","id","name","synonyms","reference","uuid:ID"
"Informed Consent Obtained","BiomedicalConcept","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","2176ade8-a42c-471b-aed1-0e4bf67bd98c"
"Sex","BiomedicalConcept","BiomedicalConcept_21","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","b5c75341-12d2-4f2e-b3c2-49e3577f33be"
"Race","BiomedicalConcept","BiomedicalConcept_22","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","b8799b05-d521-46c5-8d0d-2f256a1320bd"
"Temperature","BiomedicalConcept","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","d6fbb4da-7c50-4d5f-a4a4-a5c8cd7dbd48"
"Weight","BiomedicalConcept","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","70d9d015-b9c3-4832-822f-9f9b024f7a8f"
"Height","BiomedicalConcept","BiomedicalConcept_25","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","366fbaf5-713f-4ea5-84c1-af5dad514397"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","0bf20899-e6d9-4ce3-b271-d388a1c641fa"
"Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","06edee77-6ec2-4206-8f7a-976a95e8bc99"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","77285142-d0d1-42fc-a54c-03a50bbedc11"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","cab04e39-bc1f-4d5c-9ac0-bffaf6047c2e"
"Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","5afaf87c-294a-4b92-846d-b1950c62274c"
"Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d0b0ead0-01a1-490e-9ad0-098bc9c7e3d6"
"Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","c309145a-a0d3-490c-b710-b2dabad33adb"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","74857d1f-609f-483c-812a-5316e36ddddd"
"Adverse Event Prespecified","BiomedicalConcept","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","18a4c555-8df6-482b-838d-6bd442c8cc0e"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","f365cfbd-8dfe-4f9c-8eae-ac5ef2b32c34"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","5d9f1b4b-7974-4dcd-ba7e-6d7ffe1fb5f5"
"Temperature","BiomedicalConcept","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","f9b12b0e-7368-4663-b635-a26edb37b3f3"
"Weight","BiomedicalConcept","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","72886a71-15fe-46b2-81d2-83347cfcc5f3"
"Height","BiomedicalConcept","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","afc77810-155c-433b-8b1f-a4ce436cafb1"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","b8d00d5d-719c-4f02-aa42-9f6ea05a1040"
"Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","633b6c66-92d0-4cd4-821b-19f3dba5e876"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","b0c340ea-1050-48d2-8f14-661c8cdee6f1"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","56557ebc-930d-4cec-b4fd-ba22773eff7b"
"Creatinine Concentration in Urine","BiomedicalConcept","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","2d32a6b5-f96a-4c40-b431-2c9842528741"
"Potassium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","a61ac20b-0e9e-45c6-a4eb-b843130f61fb"
"Sodium Concentration in Urine","BiomedicalConcept","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","68af5cfa-a2f6-4e97-b6e4-aecd038326ae"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","56fa5a53-b7c4-4c38-acaa-85d0319f542b"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","d3aa8748-bd94-427c-9684-6cc9dd334a8e"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","b0e7d648-fafb-496a-882d-2b293c310c81"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","a9a3d534-b5a9-483c-9611-5a1c0c40abbc"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","59545e5a-74f8-42d6-8b39-f2f2f05f0b23"
"Heart Rate","BiomedicalConcept","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","8a060eb2-969c-49d3-8065-2c68a99f9d8c"
