"instanceType","id","codeSystemVersion","code","decode","codeSystem","uuid:ID"
"Code","Code_1","2023-12-15","C98388","Interventional Study","http://www.cdisc.org","1d1f2621-f96a-4af0-8c45-3365f5cc16b7"
"Code","Code_2","2023-12-15","C15601","Phase II Trial","http://www.cdisc.org","3b67c54b-f244-4464-bc06-231e60a1f6cd"
"Code","Code_9","2023-12-15","C132352","Sponsor Approval Date","http://www.cdisc.org","45ba5b38-e935-46db-8251-52105f15d69b"
"Code","Code_10","2023-12-15","C68846","Global","http://www.cdisc.org","537e08bc-fa8d-46f2-8093-29b2e2861cd5"
"Code","Code_72","2023-12-15","C99904x3","IRB/IEC Feedback","http://www.cdisc.org","d926509a-84de-4df0-8e2e-163e25d443e3"
"Code","Code_73","2023-12-15","C17649","Other","http://www.cdisc.org","d545e9fd-2dd8-440e-aa4a-2498708c2688"
"Code","Code_75","2023-12-15","C41129","Region","http://www.cdisc.org","7bae5869-1689-41ac-a229-dc510c6c77a1"
"Code","Code_74","2020-08","150","Europe","ISO 3166 1 alpha3","c6274598-2537-4319-ace5-75470ee2dd78"
"Code","Code_4","12","PHARMA","Eli Lilly","SPONSOR","fe93c03f-cad9-452d-954e-d4c910702fe4"
"Code","Code_76","2023-12-15","C70793","Clinical Study Sponsor","http://www.cdisc.org","836b7625-06d0-4ca3-803e-2a944239eb5e"
"Code","Code_77","2020-08","USA","United States of America","ISO 3166 1 alpha3","7b2cac7f-892e-4f48-b428-9e3470cfcf74"
"Code","Code_78","2023-12-15","C93453","Study Registry","http://www.cdisc.org","660c588d-3cd8-4a8d-99b8-cbe5e390b89e"
"Code","Code_79","2020-08","USA","United States of America","ISO 3166 1 alpha3","90d229e0-6b08-486b-a3a6-993a42736433"
"Code","Code_137","2023-12-15","C49656","Treatment Study","http://www.cdisc.org","db884eb9-0792-48c3-921a-1bcbc74f1994"
"Code","Code_138","2023-12-15","C49666","Efficacy Study","http://www.cdisc.org","a69ad031-2a04-438e-a89a-8c824591550e"
"Code","Code_139","2023-12-15","C49667","Safety Study","http://www.cdisc.org","3a304a84-ec9c-4ba7-8a83-bbc40db8ab6a"
"Code","Code_140","2023-12-15","C49663","Pharmacokinetic Study","http://www.cdisc.org","bc1d40af-3406-4e28-a19e-2f14ef4982e6"
"Code","Code_134","12","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","SPONSOR","a36a1b90-fbc8-41a1-9996-be68e89325b3"
"Code","Code_135","January 31, 2018","26929004","Alzheimer's disease","SNOMED","95cb842c-47ce-4acb-b6da-0ec0e389f93a"
"Code","Code_143","2023-12-15","C99907x1","EXTENSION","http://www.cdisc.org","6ad3395d-c2e6-4328-928c-f697633482ab"
"Code","Code_144","2023-12-15","C98704","ADAPTIVE","http://www.cdisc.org","2053aadd-67f7-4909-84d7-67486736fda4"
"Code","Code_141","2023-12-15","C82639","Parallel Study","http://www.cdisc.org","0e95c3fb-b1e7-4dbc-af52-8f214513e012"
"Code","Code_83","2023-12-15","C25716","Visit","http://www.cdisc.org","5f8c1aed-8d6c-4844-8e2a-64133c2e9f57"
"Code","Code_84","2023-12-15","C51282","Clinic","http://www.cdisc.org","64279f85-5e42-4535-bdac-ce37f20820c5"
"Code","Code_85","2023-12-15","C175574","In Person","http://www.cdisc.org","b2e58b3b-fa35-4fc9-8b5e-9c1d51335bde"
"Code","Code_86","2023-12-15","C25716","Visit","http://www.cdisc.org","e946a07b-7775-432c-b2c2-9ace4860aba2"
"Code","Code_87","2023-12-15","C51282","Clinic","http://www.cdisc.org","2c83f18b-16d0-445b-a979-c935ff497a55"
"Code","Code_88","2023-12-15","C175574","In Person","http://www.cdisc.org","14537d10-60da-43e9-9785-a16cb02de701"
"Code","Code_89","2023-12-15","C25716","Visit","http://www.cdisc.org","fdbde8b1-90d1-46ad-b8f7-ebb78176559d"
"Code","Code_90","2023-12-15","C51282","Clinic","http://www.cdisc.org","7ba9484c-1f32-4f52-aba2-42a4a093eb38"
"Code","Code_91","2023-12-15","C175574","In Person","http://www.cdisc.org","6d28d8ce-9b95-4a83-b83e-d1d6b58ee23e"
"Code","Code_92","2023-12-15","C25716","Visit","http://www.cdisc.org","3f80e79c-c388-4fcd-b463-bd8d736dedc9"
"Code","Code_93","2023-12-15","C51282","Clinic","http://www.cdisc.org","1c76a521-6ec9-44e4-91be-a53cd8d9f305"
"Code","Code_94","2023-12-15","C175574","In Person","http://www.cdisc.org","8a64e812-a273-4896-ae7a-0d6c3089b62e"
"Code","Code_95","2023-12-15","C25716","Visit","http://www.cdisc.org","7202b269-7ca9-4f8e-988d-fa9cd3e52e0b"
"Code","Code_96","2023-12-15","C51282","Clinic","http://www.cdisc.org","366895e2-0f10-49e5-8088-a343758fc939"
"Code","Code_97","2023-12-15","C175574","In Person","http://www.cdisc.org","d3012f85-ca09-4a5a-8694-ff8a63a5174c"
"Code","Code_98","2023-12-15","C25716","Visit","http://www.cdisc.org","31dc71d5-7267-4bf8-8d87-1a77de9140b8"
"Code","Code_99","2023-12-15","C51282","Clinic","http://www.cdisc.org","b965d01e-3ef9-4a5b-8592-45fc17e5dc54"
"Code","Code_100","2023-12-15","C175574","In Person","http://www.cdisc.org","3e47af2a-394d-4f67-88cc-fbaad8ee1fe2"
"Code","Code_101","2023-12-15","C25716","Visit","http://www.cdisc.org","cad9c009-0eea-4a42-b530-a6830663e2b9"
"Code","Code_102","2023-12-15","C51282","Clinic","http://www.cdisc.org","782b5c49-e473-4f70-af5a-669b727fea99"
"Code","Code_103","2023-12-15","C175574","In Person","http://www.cdisc.org","867904dd-b9e2-4e4b-a848-b3378aa72741"
"Code","Code_104","2023-12-15","C171537","Telephone Call","http://www.cdisc.org","35f0f328-e4d4-4eeb-b74b-484020be2dc7"
"Code","Code_105","2023-12-15","C25716","Visit","http://www.cdisc.org","acee0980-fcbb-43d3-9703-7af0b96455fd"
"Code","Code_106","2023-12-15","C51282","Clinic","http://www.cdisc.org","0fb580f1-7901-4b5e-963e-a8ddbe138c42"
"Code","Code_107","2023-12-15","C175574","In Person","http://www.cdisc.org","decdd5bc-4eff-4520-b2ab-cdc67f6c2140"
"Code","Code_108","2023-12-15","C171537","Telephone Call","http://www.cdisc.org","c59c600e-1ba8-4dc3-92bb-0f3fd40d9ada"
"Code","Code_109","2023-12-15","C25716","Visit","http://www.cdisc.org","d433a0b2-0d82-4d26-bab5-863732ef47df"
"Code","Code_110","2023-12-15","C51282","Clinic","http://www.cdisc.org","c3a66614-17fe-4eab-bcc6-c4055c2df587"
"Code","Code_111","2023-12-15","C175574","In Person","http://www.cdisc.org","06c3e196-8110-470f-8a32-ade096ea7428"
"Code","Code_112","2023-12-15","C171537","Telephone Call","http://www.cdisc.org","d0bb5001-e6d9-48e7-ab48-5e0a739a870b"
"Code","Code_113","2023-12-15","C25716","Visit","http://www.cdisc.org","d261c87b-c551-4337-89d3-48d4c31b78ce"
"Code","Code_114","2023-12-15","C51282","Clinic","http://www.cdisc.org","1d2e2377-2601-402a-a932-7f10c7479031"
"Code","Code_115","2023-12-15","C175574","In Person","http://www.cdisc.org","8bfe36d6-233c-42e2-8b42-e8d9bfd5ec89"
"Code","Code_116","2023-12-15","C171537","Telephone Call","http://www.cdisc.org","d2361714-e8fb-438d-a2e3-4317ca4e043c"
"Code","Code_117","2023-12-15","C25716","Visit","http://www.cdisc.org","2dd9c7f9-daf4-45cb-bf83-8ac0562d9f06"
"Code","Code_118","2023-12-15","C51282","Clinic","http://www.cdisc.org","a312d9b4-04c9-4dbc-a9b2-a177ea70b78e"
"Code","Code_119","2023-12-15","C175574","In Person","http://www.cdisc.org","d52108ad-96eb-4c89-b5b2-19419d47986e"
"Code","Code_120","2023-12-15","C25716","Visit","http://www.cdisc.org","05564e82-a401-418b-af00-39cc8c3fc54f"
"Code","Code_121","2023-12-15","C51282","Clinic","http://www.cdisc.org","fbd7208a-904f-4b69-9aa6-5b6785862044"
"Code","Code_122","2023-12-15","C175574","In Person","http://www.cdisc.org","b0b93491-5391-42c1-ba8f-f5bb34ea92b4"
"Code","Code_80","January 31, 2018","383371000119108","CT of head without contrast","SNOMED","61df6fd0-6416-45ac-9017-500172949c1d"
"Code","Code_81","12","123","Subject Supine","SPONSOR","fcd4d666-422b-43cf-8165-46e0c6715707"
"Code","Code_82","12","124","Subject Standing","SPONSOR","d4931fb0-6607-4bb0-baa7-bbf3758f4b66"
"Code","Code_429","2023-12-15","C82977","Dictionary-derived Term","http://www.cdisc.org","77e42d66-ca20-4b17-b9ff-a626d5043e18"
"Code","Code_430","2023-12-15","C82571","Reported Event Term","http://www.cdisc.org","d0d96196-d98d-44fe-99ef-1e5eede8a10f"
"Code","Code_431","2023-12-15","C82517","Observation Start Date Time","http://www.cdisc.org","e617d600-7c77-4155-93bd-310a8259864a"
"Code","Code_432","2023-12-15","C16735","Informed Consent","http://www.cdisc.org","0cb639a2-f5c0-4efc-a167-f83d93316d8b"
"Code","Code_433","2023-12-15","C20197","Male","http://www.cdisc.org","c616a7a6-9e4c-481a-ad6a-122f9f89c47c"
"Code","Code_434","2023-12-15","C16576","Female","http://www.cdisc.org","8f340b75-d54d-4110-a8e2-8df50b7296b9"
"Code","Code_435","2023-12-15","C28421","Sex","http://www.cdisc.org","dbae709a-983c-4cfd-8eb7-e2dd5bd80d81"
"Code","Code_436","2023-12-15","C28421","Sex","http://www.cdisc.org","4bacb57c-4c37-4a50-bfdc-ba30af0fa8d1"
"Code","Code_437","2023-12-15","C17049","Race","http://www.cdisc.org","11dd4a86-e70c-4982-b01d-fc48e8197e69"
"Code","Code_438","2023-12-15","C17049","Race","http://www.cdisc.org","e183932f-0afd-46f9-921a-f92a71fb6c16"
