"label","description","instanceType","id","name","purpose","text","uuid:ID"
"","","Endpoint","Endpoint_1","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","c7e5cddf-d84f-413b-9995-efaba6516d6a"
"","","Endpoint","Endpoint_2","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","039b010a-156f-4449-bf19-6b42533128e3"
"","","Endpoint","Endpoint_3","END3","","Adverse events","e4a4cfc2-241a-4d29-ad5b-8835630921e4"
"","","Endpoint","Endpoint_4","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)","aef7bc93-f430-47e8-b305-171536211f96"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Endpoint_5","END5","","Laboratory evaluations (Change from Baseline)","f29dd5a4-bb29-43cb-ada7-bfb11f534a18"
"","","Endpoint","Endpoint_6","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","50ac5fc1-8ed4-4aab-8fc8-ac82ce6dac84"
"","","Endpoint","Endpoint_7","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","d57c298f-dfcc-42e1-99f1-9efd7857f3a3"
"","","Endpoint","Endpoint_8","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","ed23ab9d-e6a9-4a2d-a64f-c43eeecf85ff"
"","","Endpoint","Endpoint_9","END9","","*** To be determined from protocol ***","ddaed569-ea36-4be1-85b5-82b89e07a9b8"
"","","Endpoint","Endpoint_10","END10","","*** To be determined from protocol ***","9319cd5d-675e-498f-8e50-be0027581f5e"
"","","Endpoint","Endpoint_11","END11","","*** To be determined from protocol ***","628e27af-a108-4001-be48-75b49d11cf44"
