"label","description","instanceType","id","name","uuid:ID"
"Informed consent","","Activity","Activity_1","Informed consent","c43be569-35ce-4cae-b0e4-35f9f1cd8738"
"Inclusion and exclusion criteria","","Activity","Activity_2","Inclusion/exclusion criteria","cddaa048-4ad1-4607-a2e3-f09266c08a60"
"Patient number assigned","","Activity","Activity_3","Patient number assigned","50ad7997-c343-42fc-89fa-55b2673d821e"
"Demographics","","Activity","Activity_4","Demographics","182be40a-f3ff-4bb6-8cb3-4281eae21591"
"Hachinski Ischemic Scale","","Activity","Activity_5","Hachinski","68a4a70a-4272-40db-af64-18b4d88daf01"
"MMSE","","Activity","Activity_6","MMSE","fe5b3251-5ffc-4408-ad2a-caba7f11a69e"
"Physical examination","","Activity","Activity_7","Physical examination","eeb9951a-fe65-4248-b6d9-e5c5727ebce4"
"Medical history","","Activity","Activity_8","Medical history","82ac78fd-6ef4-4859-a4a2-8827af643696"
"Habits","","Activity","Activity_9","Habits","932efb77-890b-4de7-a3c2-735efa323ddf"
"Chest X-ray","","Activity","Activity_10","Chest X-ray","f88d6053-e465-4c70-8c59-2600345f8ebb"
"Apo E genotyping","","Activity","Activity_11","Apo E genotyping","f64a9761-c54b-4d54-9220-2409a0c8e98c"
"Patient randomised","","Activity","Activity_12","Patient randomised","0ffc811c-e764-4190-973a-4c3de85da5d4"
"Vital Signs and Temperature","","Activity","Activity_13","Vital signs / Temperature","68e6c6d1-f636-494f-a59b-9d13b3a85075"
"Ambulatory ECG placed","","Activity","Activity_14","Ambulatory ECG placed","45c34c06-f341-427f-882a-27598edcfd73"
"Ambulatory ECG removed","","Activity","Activity_15","Ambulatory ECG removed","f3a69be0-177c-4692-9874-0cbfba9765a4"
"ECG","","Activity","Activity_16","ECG","ff130f13-c38e-4863-a4be-aa4123b4a7af"
"Placebo TTS test","","Activity","Activity_17","Placebo TTS test","35a8930d-2d51-4c9d-af5f-66a0a0c212c0"
"CT scan","","Activity","Activity_18","CT scan","006b9073-9a83-4472-ab76-fd0e63c93ee0"
"Concomitant medications","","Activity","Activity_19","Concomitant medications","9b022ce7-8dd2-4608-b85d-7369949df401"
"Hematology","","Activity","Activity_20","Hematology","ed6ad6a1-4cf9-40b6-a7c0-902f3f446ea1"
"Chemistry","","Activity","Activity_21","Chemistry","970f0649-0496-4898-96cf-3857af6acf57"
"Uninalysis","","Activity","Activity_22","Uninalysis","13a0db7e-f517-4994-ae53-f670652d2b08"
"Plasma Specimen (Xanomeline)","","Activity","Activity_23","Plasma Specimen (Xanomeline)","6fe4e078-3bef-4247-b119-de7e27a46529"
"Hemoglobin A1C","","Activity","Activity_24","Hemoglobin A1C","4ca2201e-4feb-4e28-8133-a119227b33a7"
"Study drug record , Medications dispensed, Medications returned","","Activity","Activity_25","Study drug","f2739d4b-bb47-4e3e-9c4c-8048ca5cd53c"
"TTS Acceptability Survey","","Activity","Activity_26","TTS Acceptability Survey","800b4241-e674-452e-8beb-fd79754d1d3c"
"ADAS-Cog","","Activity","Activity_27","ADAS-Cog","52e8d035-65ca-487c-abf8-b41757ed39ef"
"CIBIC+","","Activity","Activity_28","CIBIC+","c0587cf1-ef05-4aac-ad0c-6c0200ae01d1"
"DAD","","Activity","Activity_29","DAD","e55358b4-58b8-4b06-9067-7d83c2d01324"
"NPI-X","","Activity","Activity_30","NPI-X","0e9cd107-f26c-40f3-9392-09d784320869"
"Adverse events","","Activity","Activity_31","Adverse events","6307217d-15eb-45fe-97d5-79b8eb333cb0"
"Check adverse events","","Activity","Activity_32","Check adverse events","31a6eab8-b617-41f2-b543-bf88ba8b17f5"
"Subject supine","","Activity","Activity_33","Supine","bc5cdf80-8d6d-4b67-981b-83cdf4e2d9e8"
"Vital signs while supine","","Activity","Activity_34","Vital Signs Supine","d1e1fb6a-72cc-46a6-9398-56c3fec0f9fd"
"Subject Standing","","Activity","Activity_35","Stand","ae7081ee-c94b-475f-b89b-08f7a3230c52"
"Vital signs while standing","","Activity","Activity_36","Vital Signs Standing","6af365f5-f6f5-4e3f-8734-ac42bf36b631"
