"label","description","instanceType","id","name","uuid:ID"
"Screening 1","Screening encounter","Encounter","Encounter_1","E1","f4627f48-bd24-4793-809a-3f1ceb935b88"
"Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2","E2","efd0a9cc-5cd8-4110-9582-59b4918a4dac"
"Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3","E3","f28f51a7-88aa-4b05-ab96-857af2eb36cf"
"Week 2","Day 14","Encounter","Encounter_4","E4","c4c56186-9e25-4a08-ba33-bf434ffe4762"
"Week 4","Day 28","Encounter","Encounter_5","E5","b25a9718-b424-40eb-a0d0-d957ee7a42db"
"Week 6","Day 42","Encounter","Encounter_6","E7","733e85c2-9e02-4bc3-abc4-f02ff30581a4"
"Week 8","Day 56","Encounter","Encounter_7","E8","dffeac78-5506-4f38-b17f-06926d16a50e"
"Week 12","Day 84","Encounter","Encounter_8","E9","a3e5e9de-0198-4e8e-a5a0-94f925ad0fe2"
"Week 16","Day 112","Encounter","Encounter_9","E10","b9a4352e-ef0b-492d-81dc-ef3971741129"
"Week 20","Day 140","Encounter","Encounter_10","E11","6025d3e3-dbe2-43ea-96f6-a62978dc5fde"
"Week 24","Day 168","Encounter","Encounter_11","E12","8c8db89b-8465-47e1-972a-ae2fd2df72b9"
"Week 26","Day 182","Encounter","Encounter_12","E13","3b8b163e-dd6a-4e04-aa92-593c5b1fd375"
