"label","description","value","instanceType","id","name","windowUpper","valueLabel","windowLower","windowLabel","uuid:ID"
"Screening","Screening timing","P2W","Timing","Timing_1","TIM1","","2 weeks","","","da26ca08-485a-499a-81ea-9bd0c0021531"
"Pre dose","Pre dose timing","P2D","Timing","Timing_2","TIM2","PT0H","2 days","PT4H","-4..0 hours","4a65d765-df21-478a-b7fb-6275765d7892"
"Dosing","Dosing anchor","P1D","Timing","Timing_3","TIM3","","1 Day","","","c3d7a6b6-1705-48fe-9db5-fac1b023b5e6"
"Week 2","Week 2 timing","P2W","Timing","Timing_4","TIM4","P3D","2 Weeks","P3D","-3..3 days","6932749c-5014-421b-8162-c1a259600ba2"
"Week 4","Week 4 timing","P4W","Timing","Timing_5","TIM5","P3D","4 Weeks","P3D","-3..3 days","96272586-b495-41e8-8d59-69990f1bced5"
"Week 6","Week 6 timing","P6W","Timing","Timing_6","TIM6","P3D","6 Weeks","P3D","-3..3 days","15ee89da-64c6-462d-8a81-581e58c3f482"
"Week 8","Week 8 timing","P8W","Timing","Timing_7","TIM7","P3D","8 Weeks","P3D","-3..3 days","f3399d03-ca36-4722-94f5-123eea3c60b8"
"Week 12","Week 12 timing","P12W","Timing","Timing_9","TIM9","P4D","12 Weeks","P4D","-4..4 days","5703e89f-847c-4fe5-9399-9f0703e66853"
"Week 16","Week 16 timing","P16W","Timing","Timing_11","TIM11","P4D","16 Weeks","P4D","-4..4 days","e9eb718a-b249-4173-89f3-33604482e781"
"Week 20","Week 20 timing","P20W","Timing","Timing_13","TIM13","P4D","20 Weeks","P4D","-4..4 days","11611f82-b81c-4b18-8cc4-737f8a16eff0"
"Week 24","Week 24 timing","P24W","Timing","Timing_15","TIM15","P4D","24 Weeks","P4D","-4..4 days","dfa4eca7-8552-4dbb-8b68-0977fca79844"
"Week 26","Week 26 timing","P26W","Timing","Timing_16","TIM16","P3D","26 Weeks","P3D","-3..3 days","6f848091-2c21-465e-a9dd-a55147e2f44a"
"Week 8 Home","Week 8 at home timing","P2W","Timing","Timing_8","TIM8","","2 Weeks","","","334e9bd0-35d0-41c6-ba8b-0916febadbb1"
"Week 12 Home","Week 12 at home timing","P2W","Timing","Timing_10","TIM10","","2 Weeks","","","92689836-da39-4c14-b24e-e83390d527e5"
"Week 16 Home","Week 16 at home timing","P2W","Timing","Timing_12","TIM12","","2 Weeks","","","c8718b97-691b-40f5-9019-6de12c304b67"
"Week 20 Home","Week 20 at home timing","P2W","Timing","Timing_14","TIM14","","2 Weeks","","","32857814-995d-4dae-a3dd-918635ff6084"
"Adverse Event","Adverse Event","P1D","Timing","Timing_17","TIM17","","1 Day","","","6d482347-dc25-4975-873c-af7dcf97c126"
"Early Termination","Early Termination","P1D","Timing","Timing_18","TIM18","","1 Day","","","9d3e68fa-c4bf-4446-a335-3606db2d42c7"
"Supine","Supine","PT0M","Timing","Timing_19","TIM19","","0 mins","","","1f77d233-4cf7-4a72-bc7f-b3c110fff670"
"VS while supine","VS while supine","PT5M","Timing","Timing_20","TIM20","","5 mins","","","bdfef89e-24fc-46f5-9e2a-e4ba770eb7a8"
"Standing","Standing","PT0M","Timing","Timing_21","TIM21","","0 min","","","e69ab748-3391-426f-b0f8-b73e6874fe45"
"VS while standing","VS while standing","PT1M","Timing","Timing_22","TIM22","","1 min","","","11d1ef7e-82d1-495e-82cb-6bc2a5861468"
"Standing","Standing","PT0M","Timing","Timing_23","TIM23","","0 min","","","aced1172-e783-4043-924a-82677b407018"
"VS while standing","VS while standing","PT2M","Timing","Timing_24","TIM24","","2 min","","","3ef71561-e9ac-4614-930d-c2192c2da374"
