"label","description","instanceType","id","name","uuid:ID"
"Screen One","-","ScheduledActivityInstance","ScheduledActivityInstance_9","SCREEN1","00a7bd00-8728-438f-9f65-2424a3fceb9e"
"Screen Two","-","ScheduledActivityInstance","ScheduledActivityInstance_10","SCREEN2","eedbb514-6167-4d24-aa39-05875288014c"
"Dose","-","ScheduledActivityInstance","ScheduledActivityInstance_11","DOSE","8785a7f4-4f00-496f-84d4-568abf2eaf5d"
"Week 2","-","ScheduledActivityInstance","ScheduledActivityInstance_12","WK2","476744b1-3368-438e-8e73-5cc58c249ae8"
"Week 4","-","ScheduledActivityInstance","ScheduledActivityInstance_13","WK4","7dc0b09b-553e-4a30-976b-1fd62bd79026"
"Week 6","-","ScheduledActivityInstance","ScheduledActivityInstance_14","WK6","358be0a6-6533-4455-926b-719927e172d4"
"Week 8","-","ScheduledActivityInstance","ScheduledActivityInstance_15","WK8","74354cd1-02e1-415d-90e7-fec84bd406ed"
"Week NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_16","WK8N","07d2ad96-6ad1-4ebe-8542-4db06d2fa718"
"Week 12","-","ScheduledActivityInstance","ScheduledActivityInstance_17","WK12","bd7de7e8-22b6-4231-bf25-4bce1606b9c3"
"Week 12 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_18","WK12N","f285c64f-d48e-4574-b2e9-2a86dbe91046"
"Week 16","-","ScheduledActivityInstance","ScheduledActivityInstance_19","WK16","04b9478f-04d1-49bb-a032-065a17a3de20"
"Week 16 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_20","WK16N","82c8f445-6381-4119-8385-68fae70b8324"
"Week 20","-","ScheduledActivityInstance","ScheduledActivityInstance_21","WK20","c126909c-faee-48ac-a306-fe35ab28471c"
"Week 20 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_22","WK20N","1a7dbec9-ec17-4d7a-a636-c1eb847f7a35"
"Week 24","-","ScheduledActivityInstance","ScheduledActivityInstance_23","WK24","6631e26c-4a50-463d-8e2e-c7c9f7d6e8d4"
"Week 26","-","ScheduledActivityInstance","ScheduledActivityInstance_24","WK26","dd0ccf88-118b-4e42-90f6-6952b1f75189"
"Adevers Event","-","ScheduledActivityInstance","ScheduledActivityInstance_1","AE","50bca173-303b-42be-aec5-216719c42745"
"Early Termination","-","ScheduledActivityInstance","ScheduledActivityInstance_2","ET","4882241a-c666-4d67-b04c-a97b23836247"
"5 minute supine","","ScheduledActivityInstance","ScheduledActivityInstance_3","VS_5MIN","586132dc-1779-4e5b-ba52-4a210a716b80"
"Vital signs supine","","ScheduledActivityInstance","ScheduledActivityInstance_4","VS_SUPINE","aad8d6a2-da22-44f7-8d2b-388f648a4ef8"
"1 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_5","VS_1MIN","8b1c3e93-39f5-4c92-85a2-86ddb190ea7d"
"Vital signs after 1 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_6","VS_STAND1","b6291099-b697-4357-990c-70bd0384f68d"
"2 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_7","VS_2MIN","041a375f-e8ec-4b2e-804a-932c65f20334"
"Vital signs after 3 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_8","VS_STAND3","b926c73a-30fe-4be1-a004-c0b8410429d7"
