"instanceType","id","name","text","uuid:ID"
"TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","d6b80ec3-fc9d-46bf-bcf1-143de678f406"
"TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","8c278b90-566c-4c6c-9978-92372024284d"
"TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","50a4af0e-3b79-4a3d-a097-0c780d77a215"
"TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","5eb1c1b0-c404-4000-9182-867fdfb63421"
"TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","93c682ea-66d8-46e8-8201-66565e241378"
"TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","a44b19a4-2f5e-4fd2-a37a-90b686e61a38"
"TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","83453d45-0cfb-4bad-b035-b12d4e0e26f2"
"TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","34f7ce67-37fe-432b-acc8-8a4ea7e6589b"
"TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","7879a3ef-def6-44c9-906b-fa9562dba6b2"
"TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","138d3f4d-2e18-47d5-8013-ecae378c8b9b"
"TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","47ec5183-12ab-438f-8361-60060354e692"
"TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","66331320-6635-4d94-88d3-a621fb7a9d79"
"TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","Randomized","86365614-53d1-480b-9c97-94fbb28be14d"
"TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","2a044380-338f-42ac-b4b6-b164661532e5"
"TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","e2294429-07d2-4337-b0fc-1282e5082f31"
