"label","reference","uuid:ID","name","instanceType","synonyms","id"
"Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","a5018802-667b-41e0-b1ca-f78508a5094a","Body Temperature","BiomedicalConcept","['Temperature']","BiomedicalConcept_20"
"Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","cfed5d17-d8ae-437d-8dcd-4a379a8055d9","Body Weight","BiomedicalConcept","['Weight']","BiomedicalConcept_21"
"Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","f1cfb591-d499-40b4-8ce9-d1a2915498e2","Body Height","BiomedicalConcept","['Height']","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","0239f8bb-7aab-422f-af1c-e8a5c779fa8a","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","BiomedicalConcept_23"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","ae186d5b-feb3-4aed-ad86-4db3f01064d2","Albumin Measurement","BiomedicalConcept","['Albumin']","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","27c6e4b8-f570-4d66-861c-fb2c8d099861","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","468d3d63-1dcf-4089-b5cc-934c0f4a0e9a","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","BiomedicalConcept_26"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","b30501c0-9657-428a-9567-eb02378e25de","Creatinine Measurement","BiomedicalConcept","['Creatinine']","BiomedicalConcept_27"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","dcb7559a-c44c-4316-8f0c-bda48ef3e43d","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","BiomedicalConcept_28"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","02e7fd61-354b-4b66-898e-0da28cb92b1f","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","BiomedicalConcept_29"
"Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","5cac8269-bc13-433e-8609-b5ed2a64cf3a","Adverse Event","BiomedicalConcept","","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","24b3b8a5-afa2-4a81-a0b9-687a8d3ada52","Systolic Blood Pressure","BiomedicalConcept","['SYSBP']","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","fba2edd4-345c-43a8-bace-39b55728c3a7","Diastolic Blood Pressure","BiomedicalConcept","['DIABP']","BiomedicalConcept_3"
