"uuid:ID","name","instanceType","text","id"
"ea0cf055-ac48-4bc1-bfc7-cd108ba55b92","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","TransitionRule_1"
"f0bbe76c-cc1a-44a2-b227-b339671a0845","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","TransitionRule_2"
"d04599d3-2beb-4e2f-88bd-d38b0a3b2222","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"a253b7c7-ab4b-48f1-8bf2-8965a732acaf","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"dc554563-342f-4dd2-915e-2f1e10c8300c","ENCOUNTER_START_RULE_3","TransitionRule","Radomized","TransitionRule_5"
"fe9255ad-c3e9-4c70-a02a-ad6902b06786","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","TransitionRule_6"
"43417985-8cbf-4045-8233-9e7958decb8e","ELEMENT_START_RULE_1","TransitionRule","Informed consent","TransitionRule_7"
"8efeafdd-fc9a-48d1-b464-9110bc293030","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"3df3c8d7-0ccb-4247-b77a-cc5034e964c5","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","TransitionRule_9"
"1e9330c9-aec7-4725-aae8-9d23a3e078ca","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"d4acdeae-eaa0-41c9-8f30-3e1518ab39df","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"0a667aae-8ba3-49d9-92bf-92fe6db4b12e","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","TransitionRule_10"
"09d87e36-d4ec-4866-ab52-2edc5f3a98de","ELEMENT_START_RULE_4","TransitionRule","Randomized","TransitionRule_11"
"862b26b1-5cf3-401e-80bc-e362b5eac361","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"600ecfd6-6903-488d-9db8-f354c3a57d4e","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
