"label","uuid:ID","name","description","windowLower","instanceType","window","value","windowUpper","id"
"Screening","16be699f-e7cd-4cf6-af94-f9f3b1647ac7","TIM1","Screening timing","","Timing","","P2W","","Timing_1"
"Pre dose","78cf3e92-8c34-4095-95d2-7d09411ec852","TIM2","Pre dose timing","PT4H","Timing","-4..0 hours","P2D","PT0H","Timing_2"
"Dosing","b89553a4-3720-4f7b-b682-bab0bdc51f90","TIM3","Dosing anchor","","Timing","","P1D","","Timing_3"
"Week 2","9f92a23c-7b37-4ca3-9d83-609eba1e82c9","TIM4","Week 2 timing","P3D","Timing","-3..3 days","P2W","P3D","Timing_4"
"Week 4","78ae5091-a0d6-4d96-ad52-bb1152369339","TIM5","Week 4 timing","P3D","Timing","-3..3 days","P4W","P3D","Timing_5"
"Week 6","80b3470c-f86c-48c8-ae3a-24f02bdbe324","TIM6","Week 6 timing","P3D","Timing","-3..3 days","P6W","P3D","Timing_6"
"Week 8","a2aabc14-4abb-46c9-acc7-e36f6b0e01b7","TIM7","Week 8 timing","P3D","Timing","-3..3 days","P8W","P3D","Timing_7"
"Week 12","539105f7-f8e9-46d0-a04d-545a538df5ca","TIM9","Week 12 timing","P4D","Timing","-4..4 days","P12W","P4D","Timing_9"
"Week 16","dc2c4a4f-beca-454e-b973-f525be16dbf5","TIM11","Week 16 timing","P4D","Timing","-4..4 days","P16W","P4D","Timing_11"
"Week 20","f5a438ae-abb8-4ff2-bf8e-0e58a13f35b6","TIM13","Week 20 timing","P4D","Timing","-4..4 days","P20W","P4D","Timing_13"
"Week 24","6ff323b7-36dc-44e6-9dc5-e2061b2dfd29","TIM15","Week 24 timing","P4D","Timing","-4..4 days","P24W","P4D","Timing_15"
"Week 26","5191fabb-6cd1-4965-93f4-15966666122a","TIM16","Week 26 timing","P3D","Timing","-3..3 days","P26W","P3D","Timing_16"
"Week 8 Home","828a30bf-6019-4c74-9c48-e36f97bda29e","TIM8","Week 8 at home timing","","Timing","","P2W","","Timing_8"
"Week 12 Home","377eb942-6970-4938-b7d2-bdfebe9adb39","TIM10","Week 12 at home timing","","Timing","","P2W","","Timing_10"
"Week 16 Home","abe1ad12-2806-4dbe-acd1-19221b805d46","TIM12","Week 16 at home timing","","Timing","","P2W","","Timing_12"
"Week 20 Home","682eba71-2825-4a7f-a41a-c28919d7db17","TIM14","Week 20 at home timing","","Timing","","P2W","","Timing_14"
"Adverse Event","d71ad7cf-f943-48a5-bdcf-81f432dedbb8","TIM17","Adverse Event","","Timing","","P1D","","Timing_17"
"Early Termination","d7c5fe9c-84bc-4185-8acd-5d45cff899da","TIM18","Early Termination","","Timing","","P1D","","Timing_18"
"Supine","1588daa7-9701-4f76-ae8d-3cfab472ed87","TIM19","Supine","","Timing","","PT0M","","Timing_19"
"VS while supine","3dd4d79c-29e8-424a-a5e9-3dfe98e4abb9","TIM20","VS while supine","","Timing","","PT5M","","Timing_20"
"Standing","5a41bc56-8d9f-490b-ba33-f694b977eb53","TIM21","Standing","","Timing","","PT0M","","Timing_21"
"VS while standing","7493a25a-2792-4437-b07b-3dd3756f3ac0","TIM22","VS while standing","","Timing","","PT1M","","Timing_22"
"Standing","646b232a-b4ab-4edc-973d-bba781add60d","TIM23","Standing","","Timing","","PT0M","","Timing_23"
"VS while standing","43c0fc5b-452a-44fa-ad4d-f2512e76ee93","TIM24","VS while standing","","Timing","","PT2M","","Timing_24"
