"label","uuid:ID","name","instanceType","id","isRequired","isEnabled","datatype"
"Clinical Test Result","a35abf09-1037-41f5-a151-e5aa31ebdfaf","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_89","True","True","decimal"
"Unit of Temperature","af6ccd8c-8729-42bb-9215-4f0c740b9240","Unit of Temperature","BiomedicalConceptProperty","BiomedicalConceptProperty_90","True","True","string"
"Anatomic Site","ea1238a7-d1bb-40ad-bcd0-0a525b7edc85","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_91","True","True","string"
"Clinical Test Result","62c805c5-6f9c-4eb6-917f-bc8e0533af4e","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_92","True","True","decimal"
"Unit of Weight","023510d8-8856-4b81-8571-7fb4359cc696","Unit of Weight","BiomedicalConceptProperty","BiomedicalConceptProperty_93","True","True","string"
"Clinical Test Result","7afe4c00-18b5-409c-aa59-5e90e4a81463","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_94","True","True","decimal"
"Unit of Height","5221035b-5c8a-43e7-9597-c20a248b87ec","Unit of Height","BiomedicalConceptProperty","BiomedicalConceptProperty_95","True","True","string"
"Laboratory Test Result","1aacb05b-42c7-4f2f-b894-885f6ff8eeeb","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_96","True","True","decimal"
"Laboratory Test Fasting Status","7c37d0d9-0f00-4df2-ad04-e47c7d6b64bd","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_97","True","True","boolean"
"Unit of Catalytic Activity Concentration","065fc449-7fad-488e-b556-0071edf77063","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_98","True","True","string"
"Biospecimen Type","57c698bf-3463-41ae-83d6-8c708f1cc5f6","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_99","True","True","string"
"Laboratory Test Result","acc5487d-0e12-419d-993e-5eb305019f75","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_100","True","True","string"
"Laboratory Test Fasting Status","48898d20-ebbb-4008-a55f-a0f6638d8496","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_101","True","True","boolean"
"Unit of Concentration","6e54985c-bd4e-4fa7-8a7c-95ad7f624020","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_102","True","True","string"
"Biospecimen Type","949ab77c-6d13-4f31-950d-89f789581c04","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_103","True","True","string"
"Laboratory Test Result","febb49d9-ac02-4fed-a2e8-4ae609dcaa4e","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_104","True","True","decimal"
"Laboratory Test Fasting Status","9fd112b5-1a18-4158-bd17-a608d1da049d","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_105","True","True","boolean"
"Unit of Catalytic Activity Concentration","6c39ec7e-e140-4913-9ac7-28a5ae50a025","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_106","True","True","string"
"Biospecimen Type","264db697-5d98-4716-a6a7-25838e7eb6fc","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_107","True","True","string"
"Laboratory Test Result","01b06128-fc00-4153-b3a3-b18258518e78","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_108","True","True","decimal"
"Laboratory Test Fasting Status","716ee624-55d1-41a3-ad93-78c156d0c96e","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_109","True","True","boolean"
"Unit of Catalytic Activity Concentration","8e6e4306-2bad-44bb-a856-305937d25b76","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_110","True","True","string"
"Biospecimen Type","8f293674-6dd3-4e3c-b57e-02642f7a2246","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_111","True","True","string"
"Laboratory Test Result","09390a31-8df6-4f11-88d6-14e69ba801fd","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_112","True","True","string"
"Laboratory Test Fasting Status","ba08e8f9-7b93-43e0-9612-baf2880014a1","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_113","True","True","boolean"
"Unit of Concentration","c0ef3a49-1e34-467e-ae93-c411b4b8ed7a","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_114","True","True","string"
"Biospecimen Type","723e8b48-31fb-4b7b-9434-7c99764e2795","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_115","True","True","string"
"Laboratory Test Result","d605b5d7-8316-40d9-bcfd-4835c2064489","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","True","decimal"
"Laboratory Test Fasting Status","3bb34822-2975-4085-a505-ebb37b291eb0","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","True","boolean"
"Molarity Unit","9c5dd2c9-274f-4de3-82f0-32fcb7f9d314","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","True","string"
"Biospecimen Type","3aa3065a-7e72-45c8-88ea-f8307cb13760","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","True","string"
"Laboratory Test Result","fbba050f-97ea-426d-b4a0-b188bb32a135","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","True","decimal"
"Laboratory Test Fasting Status","4acc5c2e-835e-44db-a317-4a5bd939375d","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","True","boolean"
