"instanceType","label","description","uuid:ID","name","id"
"ScheduledActivityInstance","Screen One","-","b3eb1c6e-80dd-4ba7-aa19-04f2d6ea5b40","SCREEN1","ScheduledActivityInstance_9"
"ScheduledActivityInstance","Screen Two","-","68d8ff57-669f-4ad8-b578-f7681b28db9f","SCREEN2","ScheduledActivityInstance_10"
"ScheduledActivityInstance","Dose","-","329b9ca7-8791-4579-b425-6a60c231c38d","DOSE","ScheduledActivityInstance_11"
"ScheduledActivityInstance","Week 2","-","f09b6ba6-09af-4489-8183-aa47547b4481","WK2","ScheduledActivityInstance_12"
"ScheduledActivityInstance","Week 4","-","68d8d1f4-adfa-4376-a530-5791b62926da","WK4","ScheduledActivityInstance_13"
"ScheduledActivityInstance","Week 6","-","790da4df-7dab-41a4-bf28-a259b882af0d","WK6","ScheduledActivityInstance_14"
"ScheduledActivityInstance","Week 8","-","cc34de1e-46ac-4103-9376-3f8d3e2d6d7d","WK8","ScheduledActivityInstance_15"
"ScheduledActivityInstance","Week NPI","-","f5b8d593-9240-4fd8-8a09-dbbfc01e0abc","WK8N","ScheduledActivityInstance_16"
"ScheduledActivityInstance","Week 12","-","6e73c4ae-82bf-4ffa-b22b-66886357938f","WK12","ScheduledActivityInstance_17"
"ScheduledActivityInstance","Week 12 NPI","-","49bad4e2-8407-402f-9183-d5b33b9d3d2b","WK12N","ScheduledActivityInstance_18"
"ScheduledActivityInstance","Week 16","-","acbbebe9-5b4d-4311-8fc5-f743deadc4cf","WK16","ScheduledActivityInstance_19"
"ScheduledActivityInstance","Week 16 NPI","-","252a6850-ea59-4273-b7df-f841d388fe7e","WK16N","ScheduledActivityInstance_20"
"ScheduledActivityInstance","Week 20","-","a82021c1-fca5-45ca-9eb3-d374ab4c55b4","WK20","ScheduledActivityInstance_21"
"ScheduledActivityInstance","Week 20 NPI","-","f05538f6-f53c-4568-bba5-350a9271151c","WK20N","ScheduledActivityInstance_22"
"ScheduledActivityInstance","Week 24","-","f0f49d8b-d9f5-48eb-afe7-584af05af7bd","WK24","ScheduledActivityInstance_23"
"ScheduledActivityInstance","Week 26","-","f1a57296-02c4-41ea-b341-c31ccc0baf5a","WK26","ScheduledActivityInstance_24"
"ScheduledActivityInstance","Adevers Event","-","b1ad52ba-8ac6-4ac1-98d9-64582695b2f7","AE","ScheduledActivityInstance_1"
"ScheduledActivityInstance","Early Termination","-","93732212-9fc2-4dad-846b-f8e21fc13263","ET","ScheduledActivityInstance_2"
"ScheduledActivityInstance","5 minute supine","","1a09241f-f723-458f-836a-4d37e4d75121","VS_5MIN","ScheduledActivityInstance_3"
"ScheduledActivityInstance","Vital signs supine","","e7f7d867-6644-4162-9890-47ef326d26b3","VS_SUPINE","ScheduledActivityInstance_4"
"ScheduledActivityInstance","1 minute standing","","229702e6-49d0-4d3f-8cbb-5e4b7abb7cf3","VS_1MIN","ScheduledActivityInstance_5"
"ScheduledActivityInstance","Vital signs after 1 min standing","","3077fe47-1473-46ab-8754-618225808855","VS_STAND1","ScheduledActivityInstance_6"
"ScheduledActivityInstance","2 minute standing","","9b4fdcf3-daa8-4aa9-aec9-d2ab3ef8267e","VS_2MIN","ScheduledActivityInstance_7"
"ScheduledActivityInstance","Vital signs after 3 min standing","","32dc5a3b-3c83-499b-aabf-250a7a8a2603","VS_STAND3","ScheduledActivityInstance_8"
