"instanceType","label","reference","synonyms","uuid:ID","name","id"
"BiomedicalConcept","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","7a4002bd-ada1-4a48-a11c-f4a13e0e970a","Informed Consent Obtained","BiomedicalConcept_20"
"BiomedicalConcept","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","f43b951f-5c17-4d68-9007-2642ded427bd","Sex","BiomedicalConcept_21"
"BiomedicalConcept","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","50e98221-775d-465d-864c-2e2932893b9c","Race","BiomedicalConcept_22"
"BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","e11c556f-3282-4e32-9592-2b19ddd40411","Temperature","BiomedicalConcept_23"
"BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","d036c37e-4afe-46a1-a191-4b4f1d2a0ea1","Weight","BiomedicalConcept_24"
"BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","1de71409-80c6-4b39-a2ad-1881bd6a7635","Height","BiomedicalConcept_25"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","708565d4-2996-43ce-9a7d-390bd14d7c06","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26"
"BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","50b65f79-b2db-4727-b26c-477794ccef4e","Albumin Presence in Urine","BiomedicalConcept_27"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","628be3e6-5ae3-4039-9349-ab47d783a105","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","e56ce30d-acbf-4465-9628-78489a9a2ac5","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29"
"BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","8f2dfdd4-c43e-4e79-8e01-6c09c893671f","Creatinine Concentration in Urine","BiomedicalConcept_30"
"BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","4ebcfeae-ed3e-4e2c-830d-fe7dab17f5b9","Potassium Concentration in Urine","BiomedicalConcept_31"
"BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","680b66b8-3460-45d3-b66f-b77d6a868e76","Sodium Concentration in Urine","BiomedicalConcept_32"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","9e9836ed-2af5-4305-b41e-598e1e17108e","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33"
"BiomedicalConcept","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","b36d0bbf-f4d8-47c4-8813-81da456ed7f4","Adverse Event Prespecified","BiomedicalConcept_1"
"BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","bc86f11d-a41e-4b53-94c2-e12c860c1989","Systolic Blood Pressure","BiomedicalConcept_2"
"BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","4fd92dbe-36d4-49b4-ada8-e977e1915dec","Diastolic Blood Pressure","BiomedicalConcept_3"
"BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","04a66294-7c7a-48dc-bae7-28cc80b2d9e7","Temperature","BiomedicalConcept_4"
