"instanceType","label","valueLabel","windowLower","value","windowUpper","description","uuid:ID","name","windowLabel","id"
"Timing","Screening","2 weeks","","P2W","","Screening timing","4c7c8077-5846-4ab3-b3da-5821dea3340c","TIM1","","Timing_1"
"Timing","Pre dose","2 days","PT4H","P2D","PT0H","Pre dose timing","7abd9e66-5698-4f23-9ba5-23fcf55768cf","TIM2","-4..0 hours","Timing_2"
"Timing","Dosing","1 Day","","P1D","","Dosing anchor","bb447e09-d57f-4053-a69a-006cbe042e88","TIM3","","Timing_3"
"Timing","Week 2","2 Weeks","P3D","P2W","P3D","Week 2 timing","26c3f8cf-a0ad-4d53-ac7d-16ad4cf301b8","TIM4","-3..3 days","Timing_4"
"Timing","Week 4","4 Weeks","P3D","P4W","P3D","Week 4 timing","2c42d475-e025-4ca5-96bf-14cd8b109cbc","TIM5","-3..3 days","Timing_5"
"Timing","Week 6","6 Weeks","P3D","P6W","P3D","Week 6 timing","9f247116-acd1-443c-a6df-14f7c9ccc26a","TIM6","-3..3 days","Timing_6"
"Timing","Week 8","8 Weeks","P3D","P8W","P3D","Week 8 timing","c17c6a67-dbf6-49bb-9c8b-e778978acb85","TIM7","-3..3 days","Timing_7"
"Timing","Week 12","12 Weeks","P4D","P12W","P4D","Week 12 timing","550a2e62-ee34-46dc-bf49-8b3f6fcf6bbb","TIM9","-4..4 days","Timing_9"
"Timing","Week 16","16 Weeks","P4D","P16W","P4D","Week 16 timing","f3acece9-7241-4776-a79b-73bf9266fcdb","TIM11","-4..4 days","Timing_11"
"Timing","Week 20","20 Weeks","P4D","P20W","P4D","Week 20 timing","9deafcb8-ed9b-467f-ab86-dc80a763f78b","TIM13","-4..4 days","Timing_13"
"Timing","Week 24","24 Weeks","P4D","P24W","P4D","Week 24 timing","46533255-2f5e-4ab5-8c73-87c41c9c76f8","TIM15","-4..4 days","Timing_15"
"Timing","Week 26","26 Weeks","P3D","P26W","P3D","Week 26 timing","f658a900-d476-4a46-a253-e093e756915f","TIM16","-3..3 days","Timing_16"
"Timing","Week 8 Home","2 Weeks","","P2W","","Week 8 at home timing","002d2234-95c5-4f9b-8472-dc2821e7f672","TIM8","","Timing_8"
"Timing","Week 12 Home","2 Weeks","","P2W","","Week 12 at home timing","03bf7ec9-1f52-4a6e-bd75-eaeb3079387a","TIM10","","Timing_10"
"Timing","Week 16 Home","2 Weeks","","P2W","","Week 16 at home timing","20ffe4fd-8b17-4ff6-88c3-bb1df0145feb","TIM12","","Timing_12"
"Timing","Week 20 Home","2 Weeks","","P2W","","Week 20 at home timing","780793fc-6b7c-4563-a7c5-ea8079a3202b","TIM14","","Timing_14"
"Timing","Adverse Event","1 Day","","P1D","","Adverse Event","f1925fb4-56ee-4909-a3e8-2f2d57b481db","TIM17","","Timing_17"
"Timing","Early Termination","1 Day","","P1D","","Early Termination","25b901ae-0337-4c58-ab1b-02ebecf23158","TIM18","","Timing_18"
"Timing","Supine","0 mins","","PT0M","","Supine","188fea6c-94f1-4ca6-9ae5-b97c6edaae7d","TIM19","","Timing_19"
"Timing","VS while supine","5 mins","","PT5M","","VS while supine","c25b92ae-501f-4036-b4a2-9df04247ed7d","TIM20","","Timing_20"
"Timing","Standing","0 min","","PT0M","","Standing","8ae94703-db0b-4347-92bd-800dbf9dfbdd","TIM21","","Timing_21"
"Timing","VS while standing","1 min","","PT1M","","VS while standing","faf96272-4019-473c-8c92-248732c8940f","TIM22","","Timing_22"
"Timing","Standing","0 min","","PT0M","","Standing","f8d6feaf-9255-4027-a4dc-ea26e974e121","TIM23","","Timing_23"
"Timing","VS while standing","2 min","","PT2M","","VS while standing","e12a6b3a-f350-4f2a-8cd0-2d5a41e66ca1","TIM24","","Timing_24"
