"text","label","instanceType","description","uuid:ID","purpose","name","id"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","","cf7798e5-6255-4537-a8bb-c933ba171e27","","END1","Endpoint_1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","","097087c1-f181-4dd9-adf0-2492bdbf201d","","END2","Endpoint_2"
"Adverse events","","Endpoint","","d8d7108e-de19-4c22-ab83-8edb1cdfb505","","END3","Endpoint_3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","","50b7e7a5-0f9e-4e8f-bb9c-350c02c4800a","","END4","Endpoint_4"
"Laboratory evaluations (Change from Baseline)","","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","db098a4a-000b-410f-9ce3-f75b21b87476","","END5","Endpoint_5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","","8924e941-4f7c-4322-bc5b-bff491130102","","END6","Endpoint_6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","","820cc7b3-63f2-41cc-84ad-77e51a3de265","","END7","Endpoint_7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","","3e16bf65-a525-45c1-a6fd-a14bf1d046a0","","END8","Endpoint_8"
"*** To be determined from protocol ***","","Endpoint","","e1bc7107-cc35-4ef8-bf15-d1932b34386e","","END9","Endpoint_9"
"*** To be determined from protocol ***","","Endpoint","","5dcb5e34-ab81-490e-8b46-44c783dcc7a4","","END10","Endpoint_10"
"*** To be determined from protocol ***","","Endpoint","","0ebf8ef1-9e48-45f7-9cef-5384559b7553","","END11","Endpoint_11"
