"instanceType","label","description","uuid:ID","name","id"
"Activity","Informed consent","","7cbd8135-5560-45b0-b42e-3f65ef35d0d8","Informed consent","Activity_1"
"Activity","Inclusion and exclusion criteria","","7fcbfc90-d88d-4ebd-a969-5ce9c2fdbe7d","Inclusion/exclusion criteria","Activity_2"
"Activity","Patient number assigned","","d8e03e48-b892-4c0e-a703-7589ce951d84","Patient number assigned","Activity_3"
"Activity","Demographics","","d33cf6af-9559-493e-a578-836dc9a11dc3","Demographics","Activity_4"
"Activity","Hachinski Ischemic Scale","","89fac680-3a5e-4481-b21d-aa5e1d1d910c","Hachinski","Activity_5"
"Activity","MMSE","","ca6eab82-29cc-4a32-8167-0db433e2fbfd","MMSE","Activity_6"
"Activity","Physical examination","","03e8aa82-2f3d-4d87-a817-53085a086c7d","Physical examination","Activity_7"
"Activity","Medical history","","139c97af-7c6a-4c61-8b1a-8cbc28ceb9a5","Medical history","Activity_8"
"Activity","Habits","","f5d24d0c-9d4a-4264-9a62-e1f3ec018330","Habits","Activity_9"
"Activity","Chest X-ray","","2a0db497-e717-45b7-b12b-88cebcf72cca","Chest X-ray","Activity_10"
"Activity","Apo E genotyping","","0224c51b-8941-4a7e-b35b-28d286b7519d","Apo E genotyping","Activity_11"
"Activity","Patient randomised","","051c62fa-fd99-4a2b-83b7-c6845ca29e1e","Patient randomised","Activity_12"
"Activity","Vital Signs and Temperature","","bd5e9d35-c28f-48c6-9837-d865c7329877","Vital signs / Temperature","Activity_13"
"Activity","Ambulatory ECG placed","","9d01c76d-be4d-4c07-a667-a37d906ac5cb","Ambulatory ECG placed","Activity_14"
"Activity","Ambulatory ECG removed","","1ded58fb-ab3d-4151-850b-77f4b0d9d5e9","Ambulatory ECG removed","Activity_15"
"Activity","ECG","","cbdb6529-0ec8-4acb-ad8f-596cb3ec20d8","ECG","Activity_16"
"Activity","Placebo TTS test","","26d09786-39a2-4383-8f7f-221c2b4f7607","Placebo TTS test","Activity_17"
"Activity","CT scan","","7db76273-53b6-4091-b5e0-36775e6f70dd","CT scan","Activity_18"
"Activity","Concomitant medications","","7356b03d-cc55-4f46-98df-470abe512c1f","Concomitant medications","Activity_19"
"Activity","Hematology","","c09cab12-7f47-4518-b0c6-970613e7fb5d","Hematology","Activity_20"
"Activity","Chemistry","","56909d6b-f1f3-4773-8b76-c933f65ae4cd","Chemistry","Activity_21"
"Activity","Uninalysis","","63376a9a-b8bb-47e1-b941-211ee021885e","Uninalysis","Activity_22"
"Activity","Plasma Specimen (Xanomeline)","","d4def6ae-25ff-4965-b247-5b80f6ef1e1b","Plasma Specimen (Xanomeline)","Activity_23"
"Activity","Hemoglobin A1C","","f8770ca9-6d42-4088-b70c-def56b9771dd","Hemoglobin A1C","Activity_24"
"Activity","Study drug record , Medications dispensed, Medications returned","","61326707-708e-48bc-a8c6-b574a3f601d7","Study drug","Activity_25"
"Activity","TTS Acceptability Survey","","8e60ca57-653e-402e-9d6b-7bc30f5db351","TTS Acceptability Survey","Activity_26"
"Activity","ADAS-Cog","","3be4b5d8-e1c0-4969-94cb-945de4d3dc37","ADAS-Cog","Activity_27"
"Activity","CIBIC+","","4eb3e27d-3d1c-46fe-a34d-61b6ed137197","CIBIC+","Activity_28"
"Activity","DAD","","1323c4aa-a050-4561-bf1e-1bf1151cc444","DAD","Activity_29"
"Activity","NPI-X","","dbbbf56a-119c-4826-b309-6be53dae7d15","NPI-X","Activity_30"
"Activity","Adverse events","","bcec2163-2e0e-47cd-b478-2fe8822f3dc5","Adverse events","Activity_31"
"Activity","Check adverse events","","ef0d4bc7-f9c2-4012-abe8-0d00b6a0ed1a","Check adverse events","Activity_32"
"Activity","Subject supine","","b86f71ec-c702-48cd-82bf-327a20fcd8a0","Supine","Activity_33"
"Activity","Vital signs while supine","","73952a51-9ddf-4cbe-aa7a-10167a2220d9","Vital Signs Supine","Activity_34"
"Activity","Subject Standing","","baeb5c6d-d893-4c74-a925-761a9d7273c2","Stand","Activity_35"
"Activity","Vital signs while standing","","fe520ca5-061c-4539-94b8-ff7317217d8d","Vital Signs Standing","Activity_36"
