"instanceType","decode","code","uuid:ID","codeSystemVersion","codeSystem","id"
"Code","Interventional Study","C98388","fad1b827-ad5b-4792-9dda-c721a4804cbd","2023-12-15","http://www.cdisc.org","Code_1"
"Code","Phase II Trial","C15601","0e9f7a7c-73a3-40f9-90fb-f0af67af45f7","2023-12-15","http://www.cdisc.org","Code_2"
"Code","Sponsor Approval Date","C132352","50881f7f-7213-4d70-abb7-4d79f55dcab7","2023-12-15","http://www.cdisc.org","Code_9"
"Code","Global","C68846","7ed673d9-8cff-4e7f-ad66-d7be4ceff09b","2023-12-15","http://www.cdisc.org","Code_10"
"Code","IRB/IEC Feedback","C99904x3","8ba1801c-bf35-49c6-90d4-40de1f5b302e","2023-12-15","http://www.cdisc.org","Code_72"
"Code","Other","C17649","1978d0b7-cd4f-4b1f-afe8-afccedc777a4","2023-12-15","http://www.cdisc.org","Code_73"
"Code","Region","C41129","9aa46d92-9466-4b99-a614-1f82a7af2c4f","2023-12-15","http://www.cdisc.org","Code_75"
"Code","Europe","150","5d6003d6-dda7-46e2-a61b-3902e630f040","2020-08","ISO 3166 1 alpha3","Code_74"
"Code","Eli Lilly","PHARMA","30550dfd-fa2d-4eec-bc0e-8228a9d93111","12","SPONSOR","Code_4"
"Code","Clinical Study Sponsor","C70793","2faf5707-e1e2-4d0a-b833-23500ce5f4e0","2023-12-15","http://www.cdisc.org","Code_76"
"Code","United States of America","USA","03cd6fd0-0acf-46fd-9b47-f275aa10b9c9","2020-08","ISO 3166 1 alpha3","Code_77"
"Code","Study Registry","C93453","c2bc1508-44ca-49a2-a142-26c1b06d0581","2023-12-15","http://www.cdisc.org","Code_78"
"Code","United States of America","USA","cba95f08-c619-4eb7-bea4-c2678cbe400f","2020-08","ISO 3166 1 alpha3","Code_79"
"Code","Treatment Study","C49656","a3c150bb-5a3c-42af-9ece-e8754f64886b","2023-12-15","http://www.cdisc.org","Code_137"
"Code","Efficacy Study","C49666","0ef949ba-cbdd-4a0c-a370-b17d8f2db4d8","2023-12-15","http://www.cdisc.org","Code_138"
"Code","Safety Study","C49667","f40d7be0-e482-4546-a522-ebe8996cc1a8","2023-12-15","http://www.cdisc.org","Code_139"
"Code","Pharmacokinetic Study","C49663","9d864ad3-4ee2-4a03-b324-b213b93cbffb","2023-12-15","http://www.cdisc.org","Code_140"
"Code","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","f08775a1-abb5-4345-bd1f-f3e5c0b6ec2b","12","SPONSOR","Code_134"
"Code","Alzheimer's disease","26929004","ea373958-dffa-42cb-9dcc-1af358753396","January 31, 2018","SNOMED","Code_135"
"Code","EXTENSION","C99907x1","8ddc9caa-51bb-4eb0-a83b-cb57191b2c5d","2023-12-15","http://www.cdisc.org","Code_143"
"Code","ADAPTIVE","C98704","c2db308c-5c20-4ca8-81d5-ab95075bc4f2","2023-12-15","http://www.cdisc.org","Code_144"
"Code","Parallel Study","C82639","8c85f05a-22ab-4fa7-bfa3-00aaf8e466e0","2023-12-15","http://www.cdisc.org","Code_141"
"Code","Visit","C25716","63742297-b9d0-436f-b00e-b82f41f65f47","2023-12-15","http://www.cdisc.org","Code_83"
"Code","Clinic","C51282","da53815b-37ed-4907-a1f6-0647a155a035","2023-12-15","http://www.cdisc.org","Code_84"
"Code","In Person","C175574","ea9ab5f3-ff1e-4dd8-aa06-9d52b0f6dbf9","2023-12-15","http://www.cdisc.org","Code_85"
"Code","Visit","C25716","5ecd6566-df31-4fa3-bd9d-ccf98c1f0e80","2023-12-15","http://www.cdisc.org","Code_86"
"Code","Clinic","C51282","ad0b8382-3850-43c3-8c40-596a45fe3f21","2023-12-15","http://www.cdisc.org","Code_87"
"Code","In Person","C175574","4b10c08c-aeb5-4f1c-b99e-11da5e4e5e8b","2023-12-15","http://www.cdisc.org","Code_88"
"Code","Visit","C25716","6a198b36-c4a0-475d-8594-fd11646c13e8","2023-12-15","http://www.cdisc.org","Code_89"
