"synonyms","id","reference","instanceType","uuid:ID","label","name"
"['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","dfb30d77-2829-4bd6-9374-d81f2597ee46","Informed Consent Obtained","Informed Consent Obtained"
"","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","b98550ee-0067-4fc0-b4ab-33a8bd2e7e2f","Sex","Sex"
"['Racial Group']","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","9c2ed591-c05e-48a8-a644-5675d0dbfeef","Race","Race"
"['Temperature', 'Body Temperature']","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","05c894fa-c996-4468-95d2-5cc03a82a041","Temperature","Temperature"
"['Weight', 'Body Weight']","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","7358f670-b2a0-4a0f-91b2-b6d5d960a318","Weight","Weight"
"['Height', 'Body Height']","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","d32c0eb3-a911-423d-a3d1-e6d602884d01","Height","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","c2b0922d-2af4-4a3c-9cfa-2dd90da37090","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","8fa4b74e-7cef-4cc9-9e7e-281096fe38c9","Albumin Presence in Urine","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","1e91dcf6-740b-419a-8308-8435bd1bd03d","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","96dc9f38-468e-4632-8983-784ad3ce2617","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","99ed9972-d417-4eea-b8c6-062fb98bc9c6","Creatinine Concentration in Urine","Creatinine Concentration in Urine"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","32df9247-b4e5-4fd3-857c-a73021a32ade","Potassium Concentration in Urine","Potassium Concentration in Urine"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","e02f0206-411c-45e8-811b-c78ef02515d7","Sodium Concentration in Urine","Sodium Concentration in Urine"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","53bb32b4-7cb0-4b22-bf16-6936225115de","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood"
"['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","7d6e635b-4da8-4997-b6a2-8a13d9ef0cea","Adverse Event Prespecified","Adverse Event Prespecified"
"['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","d2002449-9a41-4f43-ae63-535e6ecd0505","Systolic Blood Pressure","Systolic Blood Pressure"
"['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","4bd7d460-3f0c-44de-8981-282a15925007","Diastolic Blood Pressure","Diastolic Blood Pressure"
