"decode","codeSystemVersion","code","uuid:ID","id","instanceType","codeSystem"
"Interventional Study","2023-12-15","C98388","7d555f7d-e82b-4f41-a6a7-0f1cfe45e70e","Code_1","Code","http://www.cdisc.org"
"Phase II Trial","2023-12-15","C15601","5cb8ddf2-b85d-4d76-9aaf-b0765e6ed791","Code_2","Code","http://www.cdisc.org"
"Sponsor Approval Date","2023-12-15","C132352","87f78572-3e1d-45bb-aa5b-c693905a1a70","Code_9","Code","http://www.cdisc.org"
"Global","2023-12-15","C68846","0e7001b3-95ca-4c25-b102-cd81a5fc345c","Code_10","Code","http://www.cdisc.org"
"IRB/IEC Feedback","2023-12-15","C99904x3","4be2f718-0486-452c-84a7-214d22db6dd5","Code_72","Code","http://www.cdisc.org"
"Other","2023-12-15","C17649","d077ed35-1bd2-46a1-a187-e204978b1e07","Code_73","Code","http://www.cdisc.org"
"Region","2023-12-15","C41129","9b906d81-2d61-4836-b0d0-f42eeef75123","Code_75","Code","http://www.cdisc.org"
"Europe","2020-08","150","cc2548f9-ef8c-4c3a-a875-ed6d1b37f77c","Code_74","Code","ISO 3166 1 alpha3"
"Eli Lilly","12","PHARMA","fb5103b2-9a1c-4d50-aefd-2a95b71e4ac4","Code_4","Code","SPONSOR"
"Clinical Study Sponsor","2023-12-15","C70793","f838db9b-8976-40cf-b46b-eba19c8b9391","Code_76","Code","http://www.cdisc.org"
"United States of America","2020-08","USA","006669a6-ac01-45ad-b12d-83414d88c600","Code_77","Code","ISO 3166 1 alpha3"
"Study Registry","2023-12-15","C93453","b3f2b1c7-619a-4a79-bab5-c34b1c7a5a68","Code_78","Code","http://www.cdisc.org"
"United States of America","2020-08","USA","2db34b22-1aaf-4ccf-9793-394b28ec257f","Code_79","Code","ISO 3166 1 alpha3"
"Treatment Study","2023-12-15","C49656","84485efc-ad80-4999-9c5f-d2c4768e88eb","Code_137","Code","http://www.cdisc.org"
"Efficacy Study","2023-12-15","C49666","eaeb5278-88d3-42e9-b8f1-11433413efd4","Code_138","Code","http://www.cdisc.org"
"Safety Study","2023-12-15","C49667","4b5b65d1-8134-45c8-888c-32fc74c469fe","Code_139","Code","http://www.cdisc.org"
"Pharmacokinetic Study","2023-12-15","C49663","916fbf1f-98f2-48fb-a1cf-f50c29a6237a","Code_140","Code","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","12","MILD_MOD_ALZ","b5a19af6-f813-49ec-963b-a07c403bd108","Code_134","Code","SPONSOR"
"Alzheimer's disease","January 31, 2018","26929004","dec666b8-cdc7-4d7f-8ea3-a943c478d8b9","Code_135","Code","SNOMED"
"EXTENSION","2023-12-15","C99907x1","b07d8090-ad4e-45e3-a40b-c3ea6283b3f8","Code_143","Code","http://www.cdisc.org"
