"valueLabel","value","windowUpper","windowLabel","description","id","windowLower","instanceType","uuid:ID","label","name"
"2 weeks","P2W","","","Screening timing","Timing_1","","Timing","5f4e6442-eeb4-4f50-8a8a-04cda995af63","Screening","TIM1"
"2 days","P2D","PT0H","-4..0 hours","Pre dose timing","Timing_2","PT4H","Timing","ff097d93-d9a7-4b29-b327-36765e7d42df","Pre dose","TIM2"
"1 Day","P1D","","","Dosing anchor","Timing_3","","Timing","531f4d9e-fc2e-4340-b5fc-ded33baea24c","Dosing","TIM3"
"2 Weeks","P2W","P3D","-3..3 days","Week 2 timing","Timing_4","P3D","Timing","9e56d1c0-de54-4b1f-9a81-1117e0f79f92","Week 2","TIM4"
"4 Weeks","P4W","P3D","-3..3 days","Week 4 timing","Timing_5","P3D","Timing","fc6dd922-036e-4684-94f6-66470267faad","Week 4","TIM5"
"6 Weeks","P6W","P3D","-3..3 days","Week 6 timing","Timing_6","P3D","Timing","0259a929-e2d6-400c-a21b-ab758c5eb80e","Week 6","TIM6"
"8 Weeks","P8W","P3D","-3..3 days","Week 8 timing","Timing_7","P3D","Timing","e3850839-b4e5-427a-ae8b-4ca7925e64d5","Week 8","TIM7"
"12 Weeks","P12W","P4D","-4..4 days","Week 12 timing","Timing_9","P4D","Timing","86054925-00cb-40ff-a900-f21bc7762195","Week 12","TIM9"
"16 Weeks","P16W","P4D","-4..4 days","Week 16 timing","Timing_11","P4D","Timing","14ae585e-a73d-4586-9e6c-8f28e10faf34","Week 16","TIM11"
"20 Weeks","P20W","P4D","-4..4 days","Week 20 timing","Timing_13","P4D","Timing","f3ac173d-e02a-450c-beb2-79044f92260d","Week 20","TIM13"
"24 Weeks","P24W","P4D","-4..4 days","Week 24 timing","Timing_15","P4D","Timing","2e00c035-926a-46d9-a75c-6e55150455f8","Week 24","TIM15"
"26 Weeks","P26W","P3D","-3..3 days","Week 26 timing","Timing_16","P3D","Timing","c025a926-9758-4234-8b25-36c3e625d051","Week 26","TIM16"
"2 Weeks","P2W","","","Week 8 at home timing","Timing_8","","Timing","8c02565d-8a69-4e99-84d9-5193f6cdff52","Week 8 Home","TIM8"
"2 Weeks","P2W","","","Week 12 at home timing","Timing_10","","Timing","108f03bd-07f4-4bc3-9fd3-eb86e7e5eca4","Week 12 Home","TIM10"
"2 Weeks","P2W","","","Week 16 at home timing","Timing_12","","Timing","2c9a55f8-68a1-4204-8404-fa07ff8e9d9e","Week 16 Home","TIM12"
"2 Weeks","P2W","","","Week 20 at home timing","Timing_14","","Timing","e9da150d-87ee-4770-95ea-96524e544879","Week 20 Home","TIM14"
"1 Day","P1D","","","Adverse Event","Timing_17","","Timing","c8bbe9c6-b224-4cbb-9e3e-b3561fdb0b22","Adverse Event","TIM17"
"1 Day","P1D","","","Early Termination","Timing_18","","Timing","10b4c246-ab72-4c4e-a856-85a57bb3ca3b","Early Termination","TIM18"
"0 mins","PT0M","","","Supine","Timing_19","","Timing","00a86252-29d0-4ea5-8ade-1b4903d95c79","Supine","TIM19"
"5 mins","PT5M","","","VS while supine","Timing_20","","Timing","c6003fd0-9ecf-4282-9778-f29b904645b7","VS while supine","TIM20"
"0 min","PT0M","","","Standing","Timing_21","","Timing","a9496334-6a3c-42cb-a63c-6977eb4a6c96","Standing","TIM21"
"1 min","PT1M","","","VS while standing","Timing_22","","Timing","8eb15568-9ffe-447b-a8b2-ab5562addd0e","VS while standing","TIM22"
"0 min","PT0M","","","Standing","Timing_23","","Timing","13840d6b-c5d5-45ee-b33f-ae5f98b57a28","Standing","TIM23"
"2 min","PT2M","","","VS while standing","Timing_24","","Timing","232c5f49-a738-4b4f-a35a-d9b13260ba9e","VS while standing","TIM24"
