"description","id","instanceType","uuid:ID","label","name"
"Screening encounter","Encounter_1","Encounter","8d0058b2-aaaa-4ac5-a0ab-f8b603f758a6","Screening 1","E1"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter","e907d351-72b2-4697-86cc-bfa64acde8f4","Screening 2","E2"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter","7d23d744-5913-427c-899f-0250999b0d2f","Baseline","E3"
"Day 14","Encounter_4","Encounter","9623bfad-ffe2-461e-ba10-7a238e04edb2","Week 2","E4"
"Day 28","Encounter_5","Encounter","9082d498-6f03-4ee9-9d1d-2fd9eadbd0d2","Week 4","E5"
"Day 42","Encounter_6","Encounter","0fd928c2-429c-4038-b1cc-3da4cf92ed99","Week 6","E7"
"Day 56","Encounter_7","Encounter","49e3f774-1da8-43bc-87fd-e4e70e45614d","Week 8","E8"
"Day 84","Encounter_8","Encounter","b8ace87b-cb0e-40c8-b5c4-cc035973d031","Week 12","E9"
"Day 112","Encounter_9","Encounter","7dd9f305-2f42-4aa9-9fc7-7e62448ce2cc","Week 16","E10"
"Day 140","Encounter_10","Encounter","fe8fbf42-a2da-4ff1-9d62-8eb7f77e3d31","Week 20","E11"
"Day 168","Encounter_11","Encounter","8a66c45e-880a-43ae-a599-90e680280cc5","Week 24","E12"
"Day 182","Encounter_12","Encounter","1432ee80-7833-4a49-a3c7-e294cbcda4b2","Week 26","E13"
