"description","id","name","purpose","instanceType","uuid:ID","label","text"
"","Endpoint_1","END1","","Endpoint","9be1ef8e-069f-4a78-91a0-83160deac866","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","Endpoint_2","END2","","Endpoint","1674872f-9fd5-4e7c-a1d3-265e3554965f","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","Endpoint_3","END3","","Endpoint","30b895b4-2429-4f10-bc8a-ab2e8a55ae2f","","Adverse events"
"","Endpoint_4","END4","","Endpoint","856d1ff1-cc9e-434b-9aa3-788eb9d560a4","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","END5","","Endpoint","b93bae85-a0dd-483c-bad6-c591fce8176f","","Laboratory evaluations (Change from Baseline)"
"","Endpoint_6","END6","","Endpoint","bee47efc-31ed-4ce9-927f-b74877bb5cf8","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","Endpoint_7","END7","","Endpoint","0f53db09-37a4-41ec-bf6b-c520635233eb","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","Endpoint_8","END8","","Endpoint","d7cbf222-e1b5-4956-bcee-319b60a13237","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","Endpoint_9","END9","","Endpoint","8a95cbeb-27c1-4c69-a998-f03d8de50afc","","*** To be determined from protocol ***"
"","Endpoint_10","END10","","Endpoint","a8a5d840-0fef-474b-ac45-f457e3c8e65a","","*** To be determined from protocol ***"
"","Endpoint_11","END11","","Endpoint","fafad562-0e54-4c7f-a5a3-e40dd77f280b","","*** To be determined from protocol ***"
