"id","name","instanceType","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","d39e8efc-22f8-4435-92e8-101ff55e7573","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","1c327ccc-1c4d-4a1c-bd73-08e7b8e93075","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","ae5cafa6-194f-4117-9ebf-fa6f0c88b22b","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","409433bf-2e70-4c49-9f4e-2656d2866ca0","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","cccc9cc8-1807-46f3-9a2a-1a076dc06529","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","3aa1c002-2408-437f-b8d6-0c4075d15d7c","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","ad894c17-80d3-497f-aa5d-3c5b67ff52b4","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","2ecfd173-632d-45fd-bebe-3424bee9deba","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","028ba2b4-acef-4596-8a0e-7abef4ebad0b","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","a6b82b1c-db53-4050-b7ec-35c0342d15ca","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","2a44011d-03a2-4966-91f6-458d7ce9d790","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","b3e99e46-e1c5-47d2-93c2-a1101a9efed5","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","eb19a66b-848e-4007-b8e0-d88af4d22a87","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","4bd5115e-d86e-4449-b22e-9b33095c5757","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","233fc2c2-20e7-4624-843e-02f3c95ef0a4","Administration of first dose (from patches supplied at Visit 12)"
