"id","label","description","name","uuid:ID","text"
"TransitionRule_1","","","ENCOUNTER_START_RULE_1","7ad1232f-a37d-4e11-97f2-dcd411606168","Subject identifier"
"TransitionRule_2","","","ENCOUNTER_START_RULE_1","7adff682-e43c-4e90-980f-afa466029155","completion of screening activities"
"TransitionRule_3","","","ENCOUNTER_START_RULE_2","66246c5c-fbc4-41e4-a480-0534be4b2dcd","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","","","ENCOUNTER_START_RULE_3","d90f9c7c-4621-47c9-bb10-e381ee9625fb","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","","","ENCOUNTER_START_RULE_3","beba7e1e-faf0-4ab2-9c74-5026a5b02f14","Radomized"
"TransitionRule_6","","","ENCOUNTER_START_RULE_12","284493df-d7a6-4dcd-abb8-04a6b74d57d1","End of treatment"
"TransitionRule_7","","","ELEMENT_START_RULE_1","7d83903a-4ffd-4011-8214-999b2271aa8c","Informed consent"
"TransitionRule_8","","","ELEMENT_END_RULE_1","e68ca413-0d5f-4d5b-97fe-91b4635b9668","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","","","ELEMENT_START_RULE_2","e0890535-9bf4-4cd1-b475-3ad7637bffe9","Administration of first dose"
"TransitionRule_14","","","ELEMENT_START_RULE_7","5ed4dae6-7cf0-4c5b-9f66-97d87de93a56","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","","","ELEMENT_END_RULE_7","27cd325a-8fbe-4b20-8d08-10400437a382","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","","","ELEMENT_START_RULE_3","1aef32b7-8b8d-472a-af94-5ab0e530ab17","Administration of first dose"
"TransitionRule_11","","","ELEMENT_START_RULE_4","89323c09-db6d-46c3-a3f2-1eb343464de4","Randomized"
"TransitionRule_12","","","ELEMENT_START_RULE_5","66ae8592-6e4e-437d-9eb2-0a880ba8386c","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","","","ELEMENT_START_RULE_6","777444c1-27ae-493e-96f7-26f107e052e4","Administration of first dose (from patches supplied at Visit 12)"
