"bcPropertyRequired","id","bcPropertyResponseCodes","label","name","bcPropertyEnabled","uuid:ID","bcPropertyDatatype"
"True","BiomedicalConceptProperty_86","[]","Vital Signs Result","Vital Signs Result","True","bce38747-1ae2-49ec-a32a-90ddce8f1fe4","decimal"
"True","BiomedicalConceptProperty_87","","Unit of Temperature","Unit of Temperature","True","53ae7bf6-f7e7-4171-b4a8-35de02195ed6","string"
"True","BiomedicalConceptProperty_88","[]","Vital Signs Location","Vital Signs Location","True","24a8e2dc-fb87-4ba9-ae2c-fac540089457","string"
"True","BiomedicalConceptProperty_89","[]","Vital Signs Result","Vital Signs Result","True","55777ea6-facf-4704-92d2-8026292ad6f9","decimal"
"True","BiomedicalConceptProperty_90","","Unit of Weight","Unit of Weight","True","ad7fd149-252d-4eb7-906e-13402a234b60","string"
"True","BiomedicalConceptProperty_91","[]","Vital Signs Result","Vital Signs Result","True","aa7a27bb-0adc-4f17-b736-43ad3bb8994e","decimal"
"True","BiomedicalConceptProperty_92","","Unit of Height","Unit of Height","True","e1b2b135-eb95-4f55-8b61-8b27581faec3","string"
"True","BiomedicalConceptProperty_93","[]","Laboratory Test Result","Laboratory Test Result","True","8934298b-0fef-40cd-a652-4247ba52256a","decimal"
"True","BiomedicalConceptProperty_94","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","7751cb23-d9cb-4f90-a4e5-a7cd1e6c2b5d","boolean"
"True","BiomedicalConceptProperty_95","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","dd38885b-bcd8-415f-acbc-06e2bafb682e","string"
"True","BiomedicalConceptProperty_96","[]","Biospecimen Type","Biospecimen Type","True","3da6f7e1-a8d0-477b-9832-b16115657d9b","string"
"True","BiomedicalConceptProperty_97","[]","Laboratory Test Result","Laboratory Test Result","True","31f303b5-bf8e-4e04-8f71-c6d3e02c3c02","string"
"True","BiomedicalConceptProperty_98","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","d9b5f466-199a-4a49-8362-6ef0a63f0f58","boolean"
"True","BiomedicalConceptProperty_99","[]","Unit of Concentration","Unit of Concentration","True","bc4695fc-a6a9-47ca-bda4-83416ef90536","string"
"True","BiomedicalConceptProperty_100","[]","Biospecimen Type","Biospecimen Type","True","2cae0952-1da6-41d1-a815-76ac66815b86","string"
"True","BiomedicalConceptProperty_101","[]","Laboratory Test Result","Laboratory Test Result","True","6f567e6c-740d-4067-ac1b-e1f3b1c83729","decimal"
"True","BiomedicalConceptProperty_102","[]","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","57a72e29-ebdc-4b49-9388-4ecd7e25b3f2","boolean"
"True","BiomedicalConceptProperty_103","[]","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","fcd77a53-1ae4-4140-afc6-06814658c2b5","string"
"True","BiomedicalConceptProperty_104","[]","Biospecimen Type","Biospecimen Type","True","9abf9fd1-eb8f-49f0-96db-a171fdb1dd10","string"
"True","BiomedicalConceptProperty_105","[]","Laboratory Test Result","Laboratory Test Result","True","ffd3a9ab-eb38-4de8-bdfb-0ea9394de360","decimal"
