"codeSystem","id","code","codeSystemVersion","decode","uuid:ID"
"http://www.cdisc.org","Code_1","C98388","2023-09-29","Interventional Study","2d4f63e8-fe82-45b3-b221-dfc9d51ccfc7"
"http://www.cdisc.org","Code_2","C15601","2023-09-29","Phase II Trial","4abdd53e-4c0d-40b4-bd40-2f58dccf77d4"
"http://www.cdisc.org","Code_5","C132352","2023-09-29","Sponsor Approval Date","173c4b69-4a25-4063-84d8-6f61b6214373"
"http://www.cdisc.org","Code_6","C68846","2023-09-29","Global","a966bcf3-3ec2-4015-8f3e-246591b15076"
"http://www.cdisc.org","Code_54","C99904x3","2023-09-29","IRB/IEC Feedback","9e26469a-e332-44f4-a512-9a3046e08541"
"http://www.cdisc.org","Code_55","C17649","2023-09-29","Other","49637e72-2694-4452-9740-492c17650ca6"
"http://www.cdisc.org","Code_57","C41129","2023-09-29","Region","a2555d5f-5e97-48df-af26-4dcbd2dadf7d"
"ISO 3166 1 alpha3","Code_56","150","2020-08","Europe","4760116b-572d-49bd-a17e-36734c83b0a0"
"http://www.cdisc.org","Code_59","C25464","2023-09-29","Country","76a98521-6eb6-4421-bd32-8cd453a94245"
"ISO 3166 1 alpha3","Code_58","DNK","2020-08","Denmark","a036c15d-281c-406e-b592-4812c739307f"
"SPONSOR","Code_3","PHARMA","12","Eli Lilly","591f998c-0e4b-43f8-9881-08baa7026b69"
"http://www.cdisc.org","Code_60","C70793","2023-09-29","Clinical Study Sponsor","693f91bb-4e84-460b-9bce-502019f2ae8f"
"ISO 3166 1 alpha3","Code_61","USA","2020-08","United States of America","56e25533-108b-4b5a-b5dc-be54defae5d6"
"http://www.cdisc.org","Code_62","C93453","2023-09-29","Study Registry","3727530c-01f5-46b3-98bc-a68c6147f578"
"http://www.cdisc.org","Code_120","C49656","2023-09-29","Treatment Study","0a6989da-6d29-4b51-ae47-30e8726e802f"
"http://www.cdisc.org","Code_121","C49666","2023-09-29","Efficacy Study","923f59cc-cdc1-4b9f-a761-e7648181f25c"
"http://www.cdisc.org","Code_122","C49667","2023-09-29","Safety Study","2075d7e9-e1fb-4b4d-8168-220c65ff07dc"
"http://www.cdisc.org","Code_123","C49663","2023-09-29","Pharmacokinetic Study","d088f3fb-0c97-407f-9bf9-416ad2f08f11"
"SPONSOR","Code_117","MILD_MOD_ALZ","12","Mild to Moderate Alzheimer\'s Disease","f2ef40e7-89f8-4841-b90b-5f7e9c1e4678"
"SNOMED","Code_118","26929004","January 31, 2018","Alzheimer\'s disease","f86ca8f6-278f-4878-8ef4-f22a65a850d7"
"http://www.cdisc.org","Code_124","C82639","2023-09-29","Parallel Study","5a294438-9508-4a53-96f5-7b594a16a0de"
"http://www.cdisc.org","Code_66","C25716","2023-09-29","Visit","17a26f6e-1716-47ee-97fb-32a8beb8596b"
"http://www.cdisc.org","Code_67","C51282","2023-09-29","Clinic","7c0f0950-764a-4c66-b203-e39a8ee172a2"
"http://www.cdisc.org","Code_68","C175574","2023-09-29","In Person","a4152691-2aa4-4d6c-8b4e-2bc93a37161f"
"http://www.cdisc.org","Code_69","C25716","2023-09-29","Visit","042b56be-8dfd-4287-a7c9-78d984db845e"
"http://www.cdisc.org","Code_70","C51282","2023-09-29","Clinic","ffe5f2f0-c823-4f6b-8502-1fd2b0760815"
