"id","sectionNumber","sectionTitle","name","uuid:ID","text"
"NarrativeContent_1","0","Root","ROOT","53a0ab75-7649-4792-8b04-338d27c553cf",""
"NarrativeContent_2","0","TITLE PAGE","SECTION 0","c499a7ae-48bf-4809-a18f-919dcdec51bb","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","1","PROTOCOL SUMMARY","SECTION 1","e174a711-0891-4780-8e61-6e9469c137e6","<div></div>"
"NarrativeContent_4","1.1","Protocol Synopsis","SECTION 1.1","4dd66c05-0a25-48e3-b5b7-5c00a99d758e","<div></div>"
"NarrativeContent_5","1.2","Trial Schema","SECTION 1.2","68314bdc-a6b6-4abd-a135-28594f57582a","<div></div>"
"NarrativeContent_6","1.3","Schedule of Activities","SECTION 1.3","a918b3e6-c14f-41a0-852b-13fd0fe7e0f3","<div></div>"
"NarrativeContent_7","2","INTRODUCTION","SECTION 2","63f6e76c-b553-4a25-b6cc-741792f901a4","<div></div>"
"NarrativeContent_8","2.1","Purpose of Trial","SECTION 2.1","43bab91e-4d8e-45a2-b135-f8d5e9fecfe1","<div></div>"
"NarrativeContent_9","2.2","Summary of Benefits and Risks","SECTION 2.2","0c6f62cb-2b17-4315-b530-1c7e8fcc9569","<div></div>"
"NarrativeContent_10","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","4259b0a6-e011-4e24-bf1d-a4b345670e26","<div></div>"
"NarrativeContent_11","3.1","Primary Objectives","SECTION 3.1","9efb1df6-bc5a-4e0f-a415-e27d31de960e","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","4","TRIAL DESIGN","SECTION 4","b2dea8b6-7c11-4525-9e70-41e89465f183","<div></div>"
"NarrativeContent_13","4.1","Description of Trial Design","SECTION 4.1","bdf35759-0fdf-46ec-9aaf-0ab654804a46","<div></div>"
"NarrativeContent_14","4.1.1","Participant Input into Design","SECTION 4.1.1","aedaca5e-6963-4482-93dc-534f99d95ff1","<div></div>"
"NarrativeContent_15","4.2","Rationale for Trial Design","SECTION 4.2","7cc71aad-13e4-48f7-b559-db16ee2d3e53","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
