"timingValue","id","timingWindowUpper","label","description","timingWindow","timingWindowLower","name","uuid:ID"
"P2W","Timing_1","","Screening","Screening timing","","","TIM1","572836c2-2bb3-43a0-8596-6934fc28f637"
"P2D","Timing_2","PT0H","Pre dose","Pre dose timing","-4..0 hours","PT4H","TIM2","60cd8139-416c-4113-a51a-66d92d8f62b0"
"P1D","Timing_3","","Dosing","Dosing anchor","","","TIM3","f93e8799-3f72-4a42-b9d0-2950c681b070"
"P2W","Timing_4","P3D","Week 2","Week 2 timing","-3..3 days","P3D","TIM4","5a681972-7cb6-4a4c-ae79-68f08a7bb74f"
"P4W","Timing_5","P3D","Week 4","Week 4 timing","-3..3 days","P3D","TIM5","9f3cfccc-60a5-4048-a19b-fd8da704c44e"
"P6W","Timing_6","P3D","Week 6","Week 6 timing","-3..3 days","P3D","TIM6","18d7fc01-b29e-430e-9ad6-f24fc7aea30c"
"P8W","Timing_7","P3D","Week 8","Week 8 timing","-3..3 days","P3D","TIM7","b8e11389-6e57-4574-b8d2-0658a11b5640"
"P2W","Timing_8","","Week 8 Home","Week 8 at home timing","","","TIM8","5aed6ad4-f0d7-453e-ad8d-3e1295f9d87c"
"P12W","Timing_9","P4D","Week 12","Week 12 timing","-4..4 days","P4D","TIM9","45255ea5-51d8-4d30-8cb5-9faa6fd71965"
"P2W","Timing_10","","Week 12 Home","Week 12 at home timing","","","TIM10","53775e39-b99c-44c4-8b2f-01dcf21429c8"
"P16W","Timing_11","P4D","Week 16","Week 16 timing","-4..4 days","P4D","TIM11","8232ec40-a48d-45c4-a06f-1f85df08fff9"
"P2W","Timing_12","","Week 16 Home","Week 16 at home timing","","","TIM12","ea9df209-ff54-4464-aca1-319ce660e6eb"
"P20W","Timing_13","P4D","Week 20","Week 20 timing","-4..4 days","P4D","TIM13","c3f3683a-f640-4f40-998d-c1f160c62213"
"P2W","Timing_14","","Week 20 Home","Week 20 at home timing","","","TIM14","9e22d629-3b0e-4ebc-9bbf-d0ae4ac58a0b"
"P24W","Timing_15","P4D","Week 24","Week 24 timing","-4..4 days","P4D","TIM15","07efb899-5a18-4c4b-a21f-3b7115f2484d"
"P26W","Timing_16","P3D","Week 26","Week 26 timing","-3..3 days","P3D","TIM16","862a32f1-a5f1-434f-9e10-12bb6384a9e2"
"P1D","Timing_17","","Adverse Event","Adverse Event","","","TIM17","5a858541-ff6a-46cc-9a1a-324f919284aa"
"P1D","Timing_18","","Early Termination","Early Termination","","","TIM18","03b770a8-3a53-46aa-993a-c41298d0f1a5"
"PT0M","Timing_19","","BP Anchor","BP Anchor","","","TIM19","e2076084-abcc-42be-ac60-f6443b62adbf"
"PT5M","Timing_20","","BP while Supine","BP while Supine","","","TIM20","c0504b7d-f6ab-451f-bb5c-86100f527c3b"
"PT3M","Timing_21","PT0M","BP Stand Up","BP Stand Up","-2..0 mins","PT2M","TIM21","5604c4fd-1efc-4af6-9b85-06d136ac351d"
"PT0M","Timing_22","","BP while standing","BP while standing","","","TIM22","2c281a41-2cb5-4b7e-b494-6b8be7cc8c68"
