"bcSynonyms","id","bcReference","label","name","uuid:ID"
"['Temperature']","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","7769531a-5587-4617-9e30-0cbf721a4da6"
"['Weight']","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","891836f5-ee70-4024-bcc6-e5ca366bbdc1"
"['Height']","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","208142a8-ac0b-411c-a678-94e37542e605"
"['ALT', 'SGPT']","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","9fc002d4-2cc8-4d53-9d67-d806d9c40bfe"
"['Albumin']","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","aa9697ec-ed81-4cc6-9725-c295ac91ec43"
"['Alkaline Phosphatase']","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","f2131012-89b9-4303-996a-c6e1affddd37"
"['AST', 'SGOT']","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","f9ecc886-1c1e-4fe4-94a2-f42e146547f9"
"['Creatinine']","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","fc679df3-e854-41d1-bad0-0862daae54dd"
"['Potassium', 'K']","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","9c31d831-ce47-404c-9086-7f97b577f9c9"
"['Sodium', 'NA']","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","d8cac8ad-392e-4cef-adcc-ed22376625e5"
"['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event","f0455b7e-97e0-4983-9690-0f9c46d91397"
"['SYSBP']","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","55162327-2a42-48fe-a756-704031d54f6a"
"['DIABP']","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","65b6d224-bbbf-4791-a0be-66a9e44970d5"
"['Temperature']","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","6f3b94fd-cc3f-4873-b808-716ffc8cda99"
