"text","id","instanceType","uuid:ID","name"
"Subject identifier","TransitionRule_1","TransitionRule","f31410a3-373b-412b-8afc-b0d19fbab157","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule_2","TransitionRule","50c8ea3d-2c26-4393-b7ac-5e0940c87cc8","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","c33c9621-a384-43cd-bd35-e4ded5ef1bb5","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","88b112c6-1ebb-4ef0-9cce-5c8fc342138d","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule_5","TransitionRule","bc08a09d-eb2a-4831-a145-7027895bf88c","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule_6","TransitionRule","294236f1-675d-4c9f-bc97-cc44246c6313","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule_7","TransitionRule","7216157f-7b23-422c-8cf6-006a12bb4563","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","dc002123-615d-4403-a097-ee93d4c69991","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule_9","TransitionRule","a4c2abc6-5779-4592-9127-35262517edbd","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","6fc8c6e4-e29f-4df4-98f5-b7e4d08ba473","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","1a3bc1bb-dd73-4842-880d-cbd74262da49","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule_10","TransitionRule","85d68e36-babf-4064-a445-08d2c2a22337","ELEMENT_START_RULE_3"
"Randomized","TransitionRule_11","TransitionRule","a440bdec-27bc-4b6a-ac24-cb0b76776027","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","82e3b1b9-4d74-40f5-87f2-aeb1fc7197cc","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","3bd891e2-4a84-4d3b-b038-b33c33b0d526","ELEMENT_START_RULE_6"
