"label","isEnabled","id","datatype","instanceType","uuid:ID","isRequired","name"
"DSDECOD","True","BiomedicalConceptProperty_116","text","BiomedicalConceptProperty","4fab3462-85bb-46f6-bd21-12f6bd6dcb58","True","DSDECOD"
"DSTERM","True","BiomedicalConceptProperty_117","text","BiomedicalConceptProperty","d59a4c9a-6679-48e9-bc57-f8343b0994f2","True","DSTERM"
"DSSTDTC","True","BiomedicalConceptProperty_118","datetime","BiomedicalConceptProperty","2bb45d84-af3b-4098-a6ce-ba0feed167f0","True","DSSTDTC"
"Sex","True","BiomedicalConceptProperty_119","string","BiomedicalConceptProperty","9fd20dbf-b47a-4f16-8ee4-401e6323e656","True","Sex"
"Race","True","BiomedicalConceptProperty_120","string","BiomedicalConceptProperty","4add7ed1-f955-415a-8279-b7462861ca10","True","Race"
"VSTESTCD","True","BiomedicalConceptProperty_121","","BiomedicalConceptProperty","c4c0a69a-ac48-4af2-94ae-50dc162b3d24","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_122","float","BiomedicalConceptProperty","dca3bb3f-476e-4b02-8f07-1a5ab8f81980","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_123","","BiomedicalConceptProperty","f21f73c7-0d46-476a-afb6-d5bad715889c","True","VSORRESU"
"VSLOC","True","BiomedicalConceptProperty_124","","BiomedicalConceptProperty","bb577a8b-e17d-4590-bd16-4844ea08cf4b","True","VSLOC"
"VSTESTCD","True","BiomedicalConceptProperty_125","","BiomedicalConceptProperty","ee361aac-d2f1-46cc-85ca-86e9a3e7de85","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_126","float","BiomedicalConceptProperty","32363794-cd95-4f36-a6e7-80c102fbae55","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_127","","BiomedicalConceptProperty","d2859c81-02fc-4df5-8732-4c375113c19b","True","VSORRESU"
"VSTESTCD","True","BiomedicalConceptProperty_128","","BiomedicalConceptProperty","ff61c672-9d9f-483a-83d4-5bef135e8652","True","VSTESTCD"
"VSORRES","True","BiomedicalConceptProperty_129","float","BiomedicalConceptProperty","f8cdd428-40f8-45c2-97a6-0f1a4ff8dea1","True","VSORRES"
"VSORRESU","True","BiomedicalConceptProperty_130","","BiomedicalConceptProperty","46c9aeb6-f1fe-41cb-af6f-890dcdd16a10","True","VSORRESU"
"LBTESTCD","True","BiomedicalConceptProperty_131","","BiomedicalConceptProperty","5efb875e-dc44-4763-b22d-40e7b7a3fb8f","True","LBTESTCD"
"LBORRES","True","BiomedicalConceptProperty_132","float","BiomedicalConceptProperty","cb789b3e-bfed-41f1-926d-11717f1d84b3","True","LBORRES"
"LBORRESU","True","BiomedicalConceptProperty_133","","BiomedicalConceptProperty","f6fa7a73-da2a-4259-aa8a-ce647eb973dd","True","LBORRESU"
