"label","id","instanceType","uuid:ID","description","name"
"Screening 1","Encounter_1","Encounter","c22015ed-d12b-4f94-a609-79b34511f40b","Screening encounter","E1"
"Screening 2","Encounter_2","Encounter","a6bda6e8-dd4c-470e-852c-862468133204","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter_3","Encounter","73645a09-7819-4629-be61-b252facc5d8b","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter_4","Encounter","dbfe5821-5ff4-4b29-bc91-71fb07911204","Day 14","E4"
"Week 4","Encounter_5","Encounter","00bbf909-619b-43db-9ee8-7e392fa89d54","Day 28","E5"
"Week 6","Encounter_6","Encounter","a4b69fd5-5ab9-4c32-9064-6606fc739a68","Day 42","E7"
"Week 8","Encounter_7","Encounter","b7d658c8-b25d-4199-9ad1-52e00f0ffca1","Day 56","E8"
"Week 12","Encounter_8","Encounter","e530a445-6e54-4c48-b899-caaa4c40f91b","Day 84","E9"
"Week 16","Encounter_9","Encounter","37639457-3a4e-49ce-995d-ca96b8fed9a6","Day 112","E10"
"Week 20","Encounter_10","Encounter","449988dc-3085-479e-8045-410c250a6da8","Day 140","E11"
"Week 24","Encounter_11","Encounter","d14ab13d-cb92-40fe-8579-5f002308b1bd","Day 168","E12"
"Week 26","Encounter_12","Encounter","1486e49b-3cd7-453c-b5a4-06f41ced7504","Day 182","E13"
