"label","id","instanceType","synonyms","uuid:ID","reference","name"
"Informed Consent Obtained","BiomedicalConcept_20","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","5ed58a24-91ae-4a5b-9c1a-e6a170189bce","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"Sex","BiomedicalConcept_21","BiomedicalConcept","","27697ad9-ca0f-4006-aee3-1f2a346daebe","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"Race","BiomedicalConcept_22","BiomedicalConcept","['Racial Group']","578c1543-6379-4f58-a559-5e9a6beece9e","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"Temperature","BiomedicalConcept_23","BiomedicalConcept","['Temperature', 'Body Temperature']","f17aa0f5-0cf4-4624-b618-50ffe2a3c7f6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept_24","BiomedicalConcept","['Weight', 'Body Weight']","dac9a4bf-69da-4177-877a-068f18dbc5ab","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept_25","BiomedicalConcept","['Height', 'Body Height']","61cc8347-0d9a-4827-ad7d-ce9672b0d44c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","f74cf063-e052-4f2f-8c1b-b524280f01ab","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept_27","BiomedicalConcept","['Albumin', 'Albumin Measurement']","21d9a262-6155-468a-88fb-4cb5e740ef09","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","d591f2d4-e82c-48c6-8647-97c35de6fc3a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","f0016532-b19d-4c4c-a4cc-465bbda781a7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept_30","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","155ecaa4-6388-429f-b5db-80abeee0967f","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept_31","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","f906216e-5f2a-4144-a4da-c422c4e4b1f2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept_32","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","a415a93c-b6f4-446b-a381-db2b8e3cd396","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","b50ce4f3-6419-42af-b41e-ccd45f31137c","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","a0589c49-ffdb-40f8-a6f6-8070b78a760b","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","Adverse Event Prespecified"
"Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","20f77c1f-1ea9-467e-9f8d-ed8a608e0c9d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","954e7e5f-11e0-4a3c-841a-a8fcda2ab1a4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Temperature","BiomedicalConcept_4","BiomedicalConcept","['Temperature', 'Body Temperature']","6eddb5ec-a585-40e2-bcc2-f82ae048a631","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept_5","BiomedicalConcept","['Weight', 'Body Weight']","e99722c2-01ab-4f27-8539-4de274083220","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept_6","BiomedicalConcept","['Height', 'Body Height']","5d55b36f-cac9-4629-94e3-e6cc3ad40932","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","8f5536b8-071f-42bf-98df-273dd3109012","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept_8","BiomedicalConcept","['Albumin', 'Albumin Measurement']","d799e9ba-77d2-4dc3-853a-58a6817c5868","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","2d1b6e84-daf3-4356-ad43-6010dee06ef8","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","dd56f828-352d-4266-8955-6bea3745b8b3","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept_11","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","0b00a1c4-758f-40d3-b8fd-6fd3d054f60d","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","9e4b038d-d5e8-4c61-a0e4-77696444dfdc","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","7d08b97f-8a96-4d35-a4d7-f7023f43ce6c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","Sodium Concentration in Urine"
"Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","59bb5fa9-64a9-4a4c-9194-468ee739b77d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept_15","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","40671dad-622f-441e-a6b3-b6e19f67175e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept_16","BiomedicalConcept","['Heart Rate']","efd0041f-187a-4563-bfb3-d04e879d638e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
"Systolic Blood Pressure","BiomedicalConcept_17","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","4e7796fa-eb24-4b00-a110-cd1c0c0afe95","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","Systolic Blood Pressure"
"Diastolic Blood Pressure","BiomedicalConcept_18","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","fe1940ab-28fd-4391-b6d6-5ac035800de6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","Diastolic Blood Pressure"
"Heart Rate","BiomedicalConcept_19","BiomedicalConcept","['Heart Rate']","785cfc13-d083-41b4-b3e4-0b3075782dc4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","Heart Rate"
