"label","text","id","instanceType","purpose","uuid:ID","description","name"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","Endpoint","","6ed3225a-a4ce-49e1-9d8f-8d935c1cfe0a","","END1"
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","Endpoint","","fa1f6810-acab-4f4e-9829-30a9e33c88df","","END2"
"","Adverse events","Endpoint_3","Endpoint","","8c859a6b-95ff-4c12-bd23-06840d89565e","","END3"
"","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","Endpoint","","0817da1c-26dd-4aed-a8fc-56b06a8f0383","","END4"
"","Laboratory evaluations (Change from Baseline)","Endpoint_5","Endpoint","","65366340-4d20-4884-a81b-508ac8659f2a","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","Endpoint","","0f6eca19-755f-487e-aa4b-80ba1e75567c","","END6"
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","Endpoint","","4156c6f3-e35c-4ec3-b876-4417e7c4a379","","END7"
"","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","Endpoint","","6f853a23-ce1a-408b-afbf-5e985e02bf9f","","END8"
"","*** To be determined from protocol ***","Endpoint_9","Endpoint","","5dffe0b9-24af-4575-943b-006cd2ed0ab2","","END9"
"","*** To be determined from protocol ***","Endpoint_10","Endpoint","","abf4ab29-e6cc-464a-9f7f-738fbc021a25","","END10"
"","*** To be determined from protocol ***","Endpoint_11","Endpoint","","65059d8c-f95e-4b43-a604-656a755adf9e","","END11"
