"label","id","windowLower","instanceType","windowUpper","uuid:ID","valueLabel","windowLabel","description","value","name"
"Screening","Timing_1","","Timing","","c7d56121-fcc7-432a-9254-6cfef44fe282","2 weeks","","Screening timing","P2W","TIM1"
"Pre dose","Timing_2","PT4H","Timing","PT0H","3c80efb6-a9de-4285-999b-7ba4c736d33e","2 days","-4..0 hours","Pre dose timing","P2D","TIM2"
"Dosing","Timing_3","","Timing","","b1b6bcd6-824c-4077-92d9-f8e4e8b3d183","1 Day","","Dosing anchor","P1D","TIM3"
"Week 2","Timing_4","P3D","Timing","P3D","c602228b-08d2-4b73-9880-a3ee8fa3b10f","2 Weeks","-3..3 days","Week 2 timing","P2W","TIM4"
"Week 4","Timing_5","P3D","Timing","P3D","ab993c63-5fb8-4f50-b9d5-074e16b5179a","4 Weeks","-3..3 days","Week 4 timing","P4W","TIM5"
"Week 6","Timing_6","P3D","Timing","P3D","ead9a544-a518-42f9-9d29-f1b517ea2ad7","6 Weeks","-3..3 days","Week 6 timing","P6W","TIM6"
"Week 8","Timing_7","P3D","Timing","P3D","1deb9c1e-19e4-49c8-bdcd-6b64d17999e6","8 Weeks","-3..3 days","Week 8 timing","P8W","TIM7"
"Week 12","Timing_9","P4D","Timing","P4D","6e7df9fd-a239-43a8-93d7-4c10ef548539","12 Weeks","-4..4 days","Week 12 timing","P12W","TIM9"
"Week 16","Timing_11","P4D","Timing","P4D","1ead78ff-f668-4c6f-a57e-1ed9207fd281","16 Weeks","-4..4 days","Week 16 timing","P16W","TIM11"
"Week 20","Timing_13","P4D","Timing","P4D","94cf5528-bbac-46d1-87ac-123c57cf4274","20 Weeks","-4..4 days","Week 20 timing","P20W","TIM13"
"Week 24","Timing_15","P4D","Timing","P4D","781406ac-2a77-40e3-a3fb-73d3e45c4ee3","24 Weeks","-4..4 days","Week 24 timing","P24W","TIM15"
"Week 26","Timing_16","P3D","Timing","P3D","ead971c1-2981-4187-8009-dc047f7b58e9","26 Weeks","-3..3 days","Week 26 timing","P26W","TIM16"
"Week 8 Home","Timing_8","","Timing","","f676f5cc-c9a2-4139-98bd-f4f71bc2a6f0","2 Weeks","","Week 8 at home timing","P2W","TIM8"
"Week 12 Home","Timing_10","","Timing","","75492fc3-7255-4975-88d0-62219107b381","2 Weeks","","Week 12 at home timing","P2W","TIM10"
"Week 16 Home","Timing_12","","Timing","","e3c2e418-61fd-4cb6-b05a-d02c8c97b7f3","2 Weeks","","Week 16 at home timing","P2W","TIM12"
"Week 20 Home","Timing_14","","Timing","","8a6c81b1-1451-4655-9634-8da770ea7fec","2 Weeks","","Week 20 at home timing","P2W","TIM14"
"Adverse Event","Timing_17","","Timing","","f227049e-19c2-4c09-bfcf-bee400646915","1 Day","","Adverse Event","P1D","TIM17"
"Early Termination","Timing_18","","Timing","","ae7cc76e-9d3b-40cd-8054-aa9d07086a2c","1 Day","","Early Termination","P1D","TIM18"
"Supine","Timing_19","","Timing","","1d3d6d13-25e6-4222-b630-3ac16057e02c","0 mins","","Supine","PT0M","TIM19"
"VS while supine","Timing_20","","Timing","","13d40003-8417-413c-99a1-a51d994e03b4","5 mins","","VS while supine","PT5M","TIM20"
"Standing","Timing_21","","Timing","","eb408a3d-1074-4c37-9ea7-5e51dee97c76","0 min","","Standing","PT0M","TIM21"
"VS while standing","Timing_22","","Timing","","627c5e83-d4aa-4e71-add8-49b45bb3318d","1 min","","VS while standing","PT1M","TIM22"
"Standing","Timing_23","","Timing","","9a91e242-4b84-4279-abe0-ec05d0895fcb","0 min","","Standing","PT0M","TIM23"
"VS while standing","Timing_24","","Timing","","ab083170-88ab-4097-837d-dbbe0bcaa1ae","2 min","","VS while standing","PT2M","TIM24"
