"decode","codeSystemVersion","id","instanceType","uuid:ID","code","codeSystem"
"Interventional Study","2023-12-15","Code_1","Code","e017a079-323a-45dd-bd59-d4319e63189a","C98388","http://www.cdisc.org"
"Phase II Trial","2023-12-15","Code_2","Code","048e2a00-8867-42e2-baf4-eac4093bc3fd","C15601","http://www.cdisc.org"
"Sponsor Approval Date","2023-12-15","Code_9","Code","fb029b54-8e73-4fdc-83ec-8dc2e132a449","C132352","http://www.cdisc.org"
"Global","2023-12-15","Code_10","Code","413a0a0c-49bd-4471-a287-581e0a9fdc27","C68846","http://www.cdisc.org"
"IRB/IEC Feedback","2023-12-15","Code_72","Code","9b2d50d4-c455-44ff-a9c4-afcc3037b412","C99904x3","http://www.cdisc.org"
"Other","2023-12-15","Code_73","Code","94af5cc2-6570-4479-80fe-6a991e49ea82","C17649","http://www.cdisc.org"
"Region","2023-12-15","Code_75","Code","a3cf057c-3589-45ed-87da-2c2b14aa5da3","C41129","http://www.cdisc.org"
"Europe","2020-08","Code_74","Code","55aa7308-32ee-448a-beb2-7af3c9fc396c","150","ISO 3166 1 alpha3"
"Eli Lilly","12","Code_4","Code","85fba869-48f7-4a72-b07d-168c4d490c59","PHARMA","SPONSOR"
"Clinical Study Sponsor","2023-12-15","Code_76","Code","3772da30-c268-4959-9178-ca958545e5c7","C70793","http://www.cdisc.org"
"United States of America","2020-08","Code_77","Code","582b5966-e521-4caf-87c1-a526eaf3a2bd","USA","ISO 3166 1 alpha3"
"Study Registry","2023-12-15","Code_78","Code","b2a36348-4413-4dc3-a655-525e57e5327d","C93453","http://www.cdisc.org"
"United States of America","2020-08","Code_79","Code","818a9ccb-6832-4c41-a3d4-494d228c8ec5","USA","ISO 3166 1 alpha3"
"Treatment Study","2023-12-15","Code_137","Code","c85fe827-2164-4d6b-9991-c7e5642b6410","C49656","http://www.cdisc.org"
"Efficacy Study","2023-12-15","Code_138","Code","bf100902-3516-454b-a24a-5747e972afef","C49666","http://www.cdisc.org"
"Safety Study","2023-12-15","Code_139","Code","438ebe3b-eeab-4077-9ed0-a2bdbbd16cda","C49667","http://www.cdisc.org"
"Pharmacokinetic Study","2023-12-15","Code_140","Code","02bf8a25-92e4-4e27-8e89-44e183bcadfd","C49663","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","12","Code_134","Code","0614a7fb-415f-4e78-b546-917ff1c913f0","MILD_MOD_ALZ","SPONSOR"
"Alzheimer's disease","January 31, 2018","Code_135","Code","433ae71e-a55a-40f8-89cc-1645cf6145a3","26929004","SNOMED"
"EXTENSION","2023-12-15","Code_143","Code","ab1c1e27-93bc-4066-b005-7da77a451d54","C99907x1","http://www.cdisc.org"
"ADAPTIVE","2023-12-15","Code_144","Code","9c032d33-cf41-4a64-9b42-ccbe1713aada","C98704","http://www.cdisc.org"
"Parallel Study","2023-12-15","Code_141","Code","0a322ef2-2089-43cd-91b0-f28525787271","C82639","http://www.cdisc.org"
"Visit","2023-12-15","Code_83","Code","36e07f2e-0c35-459b-8160-71f54c797ac9","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_84","Code","86f02013-6929-4d96-bfe6-52fc519ec6b6","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_85","Code","379375f9-8f51-4401-954e-f885bd274960","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_86","Code","0d60faef-db9e-4139-890c-1ff70fabe8b9","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_87","Code","8f58e3ee-da65-45ef-9ad4-d4e6b63768c0","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_88","Code","21dd2c97-46a5-4c96-b0cc-763f7ca503dc","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_89","Code","144137ba-4b3c-454f-9242-0fef56385a15","C25716","http://www.cdisc.org"
"Clinic","2023-12-15","Code_90","Code","71c799e0-36ba-48aa-9ebf-0a9ea9cab5c5","C51282","http://www.cdisc.org"
"In Person","2023-12-15","Code_91","Code","c2674faa-d57f-4478-bf11-021bba4d8d4c","C175574","http://www.cdisc.org"
"Visit","2023-12-15","Code_92","Code","e7df9baa-937d-4aed-b994-05a0f795215a","C25716","http://www.cdisc.org"
