"label","id","instanceType","uuid:ID","description","name"
"Informed consent","Activity_1","Activity","5669f20d-dd07-471d-9e19-dd4be6cacf3e","","Informed consent"
"Inclusion and exclusion criteria","Activity_2","Activity","64c6ee9b-f16a-4878-98a4-d5ae6debecac","","Inclusion/exclusion criteria"
"Patient number assigned","Activity_3","Activity","7187f8c5-a44f-4279-825d-bb33050b5102","","Patient number assigned"
"Demographics","Activity_4","Activity","a4bc3ae6-5f27-4488-916c-8b61528f4715","","Demographics"
"Hachinski Ischemic Scale","Activity_5","Activity","04550d56-07bc-45d2-9d4d-3868ad69d106","","Hachinski"
"MMSE","Activity_6","Activity","53afaeb5-bb6e-42d6-ad34-511f7952cff8","","MMSE"
"Physical examination","Activity_7","Activity","a2301a6b-2086-4445-a895-2e4301c4d2b8","","Physical examination"
"Medical history","Activity_8","Activity","4a6b9136-0567-463f-ad49-a14a84a8aa17","","Medical history"
"Habits","Activity_9","Activity","c7f9f2e1-4a22-4293-9ae5-16755b4db3a7","","Habits"
"Chest X-ray","Activity_10","Activity","6e1ca972-d8be-462a-b69e-41d851119805","","Chest X-ray"
"Apo E genotyping","Activity_11","Activity","07d6a431-ffdc-47e2-be83-7257b2e4b6cc","","Apo E genotyping"
"Patient randomised","Activity_12","Activity","96dc645c-8f1e-4b38-8c47-934ee19e17d3","","Patient randomised"
"Vital Signs and Temperature","Activity_13","Activity","dff101da-db77-4808-9bb2-436d9465dde1","","Vital signs / Temperature"
"Ambulatory ECG placed","Activity_14","Activity","d77a382d-91c9-43a5-bdd3-8f4142d81d3f","","Ambulatory ECG placed"
"Ambulatory ECG removed","Activity_15","Activity","a0ba41e2-fbf5-4a09-9e05-8f4c19fc978b","","Ambulatory ECG removed"
"ECG","Activity_16","Activity","b0fd260f-c69e-4b90-9748-82d766444823","","ECG"
"Placebo TTS test","Activity_17","Activity","2a8ec72c-245a-4955-9776-e33929a6043c","","Placebo TTS test"
"CT scan","Activity_18","Activity","79d8356a-e019-4f13-b82b-069ceff3ff4c","","CT scan"
"Concomitant medications","Activity_19","Activity","bc7b53f3-2b91-4c04-8ba0-6f7e62dbc4f4","","Concomitant medications"
"Hematology","Activity_20","Activity","5aa4da8a-6bef-48a0-b58b-6307ff46c4c1","","Hematology"
"Chemistry","Activity_21","Activity","8f224f3a-b0e8-4886-8f09-da4cf1e4436e","","Chemistry"
"Uninalysis","Activity_22","Activity","a5bd4dfe-5d59-4031-8510-a3bb3d8a1de2","","Uninalysis"
"Plasma Specimen (Xanomeline)","Activity_23","Activity","98aed92e-5825-472f-b3d2-b67c474100ba","","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","Activity_24","Activity","27fd5b26-06ae-4ff3-a5fa-f5f8dcc87aa9","","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","c2124c0e-2a2a-4057-8371-9b9153cd6079","","Study drug"
"TTS Acceptability Survey","Activity_26","Activity","72bb1484-4fa2-43b2-bb7d-8d7ff5dc02d5","","TTS Acceptability Survey"
"ADAS-Cog","Activity_27","Activity","8380810f-ee52-4e6c-acc2-4bf081e3bf58","","ADAS-Cog"
"CIBIC+","Activity_28","Activity","4d564b9c-6db8-41e6-92d6-5a50358e63cf","","CIBIC+"
"DAD","Activity_29","Activity","b8f1eac1-580c-4a1f-bf9e-8dea7b00e226","","DAD"
"NPI-X","Activity_30","Activity","1e3889db-9575-45bd-81cf-b5b676b67d40","","NPI-X"
"Adverse events","Activity_31","Activity","b99835e2-bc70-4944-b583-82bf07920719","","Adverse events"
"Check adverse events","Activity_32","Activity","24c810a0-6a17-4966-9469-c82f8c8f23f6","","Check adverse events"
"Subject supine","Activity_33","Activity","e2aff1dd-37aa-42a0-8ae9-ed7cd38531ae","","Supine"
"Vital signs while supine","Activity_34","Activity","fa696de0-a410-4449-8fde-0749d7807f39","","Vital Signs Supine"
"Subject Standing","Activity_35","Activity","2c7856bf-28a4-41ac-8cff-62b8f96574bd","","Stand"
"Vital signs while standing","Activity_36","Activity","67405eeb-8449-4772-95d4-6977f85426e4","","Vital Signs Standing"
