"label","id","instanceType","uuid:ID","description","name"
"Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","8d7a077e-2360-4771-809e-f22d66ae247c","-","SCREEN1"
"Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","e1b51407-2458-44c3-8c13-b2d6170a3f84","-","SCREEN2"
"Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","4af10705-ec4a-4cb8-b9eb-70681566d983","-","DOSE"
"Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","1461dfb5-4b73-4c75-b340-2beb940e9162","-","WK2"
"Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","ed0c421e-a6f9-4891-9ec7-423c65d243b9","-","WK4"
"Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","39f9922c-b02c-4e63-a9a7-8f60bc71cbd6","-","WK6"
"Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","43c25371-75de-4382-84fb-389fd6fdb732","-","WK8"
"Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","de3298b6-ca30-4a3d-b52e-3559ecea2e3d","-","WK8N"
"Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","c754018a-e1c5-4745-a907-7ce5e8da7751","-","WK12"
"Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","8e9b7d50-3486-4927-a871-61e34f4cc2ad","-","WK12N"
"Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","23bf61b3-87ed-43ee-a70d-1d4c6194215c","-","WK16"
"Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","15f131a3-17ed-4abe-a943-f96af461a2f4","-","WK16N"
"Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","76ef0e0a-6e41-4d06-ba93-d3f1a59ab3dc","-","WK20"
"Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","db00b6ab-1815-43c3-a737-e5b6e2fd4947","-","WK20N"
"Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","0b1c586f-c507-43b5-9163-2ac714fc3293","-","WK24"
"Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","3139d2d8-ed2c-4887-b68a-165085793cfb","-","WK26"
"Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","dc957339-feb6-42fb-a29f-0d97abb80d4f","-","AE"
"Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","3fbb60ad-8cd8-4256-8a33-b5ca733a9206","-","ET"
"5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","8993f124-3876-4b75-90ba-24958ef53e47","","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","eff3db78-8b22-485e-ba05-ac32b2a10de8","","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","5811b14e-bf1a-439f-98f1-9ffd98f51fb6","","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","45ec9e70-c9ae-4ca2-800e-72a4bf5edd9d","","VS_STAND1"
"2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","c330bc0d-ecb0-45c0-aa61-9a1f60d0f239","","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","23dd0524-4ffa-4914-b3d2-ca9eda82cdd1","","VS_STAND3"
