"purpose","name","text","description","instanceType","uuid:ID","id","label"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","fac51f7a-7b3c-4282-bb94-28ecfd39f872","Endpoint_1",""
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","c5c6f0fd-8496-4dd7-b5ec-47ab6a0a8bbd","Endpoint_2",""
"","END3","Adverse events","","Endpoint","648c571f-9ed6-42fb-ab82-c3d0baec7b25","Endpoint_3",""
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","14655f92-b276-4f35-a4d3-d745cee5457e","Endpoint_4",""
"","END5","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","9283f9ae-25e1-498d-8cd2-f925bcac0ea4","Endpoint_5",""
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","29e5709c-cf89-40e7-a829-8bfa7665f9f3","Endpoint_6",""
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","1a974cd7-19a0-47af-903c-8c4e6fa7b163","Endpoint_7",""
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","a98d346e-0994-4f43-8df2-f5d7e19685c9","Endpoint_8",""
"","END9","*** To be determined from protocol ***","","Endpoint","577a4e3b-02ac-4060-81a6-4c807b5e4f7d","Endpoint_9",""
"","END10","*** To be determined from protocol ***","","Endpoint","2c801d28-43ee-40b3-9b53-11110f3b92c2","Endpoint_10",""
"","END11","*** To be determined from protocol ***","","Endpoint","58fa63b6-9005-42da-bdfd-7c89a40b34ae","Endpoint_11",""
