"name","uuid:ID","description","instanceType","id","label"
"E1","e027ca21-c2f2-4508-8b80-c0b2d5ad6d14","Screening encounter","Encounter","Encounter_1","Screening 1"
"E2","4bf979b8-86fc-4012-96aa-e23457abf31b","Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2","Screening 2"
"E3","bfb84724-0e10-40c4-8e3f-1d661046e4dc","Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3","Baseline"
"E4","f324981e-682f-4262-8310-40ab42decceb","Day 14","Encounter","Encounter_4","Week 2"
"E5","b40fa5b4-1fcb-41f3-aa7c-22d598757f7c","Day 28","Encounter","Encounter_5","Week 4"
"E7","005be55d-4d11-4dc2-8dda-e40ef1cbabf4","Day 42","Encounter","Encounter_6","Week 6"
"E8","e35f1c4c-a206-4a97-93b3-7a1d1ab6dfe1","Day 56","Encounter","Encounter_7","Week 8"
"E9","04ef401f-2952-42ab-ab58-99a95688a1dc","Day 84","Encounter","Encounter_8","Week 12"
"E10","91d16ed2-6e20-4f09-a8d4-cc4413d2d053","Day 112","Encounter","Encounter_9","Week 16"
"E11","197b079f-06ba-402e-b714-8c1df26e1cf8","Day 140","Encounter","Encounter_10","Week 20"
"E12","c09c40a4-c44c-41ae-b958-e71b05d49b99","Day 168","Encounter","Encounter_11","Week 24"
"E13","74e47c11-4370-4f3d-8b1a-725859b7c96c","Day 182","Encounter","Encounter_12","Week 26"
