"decode","codeSystemVersion","uuid:ID","instanceType","code","id","codeSystem"
"Interventional Study","2023-12-15","8dbcdc12-87ba-4d2a-aeb0-f46bb477484b","Code","C98388","Code_1","http://www.cdisc.org"
"Phase II Trial","2023-12-15","e8b64d22-9a61-4731-ac9f-8598590b44c7","Code","C15601","Code_2","http://www.cdisc.org"
"Sponsor Approval Date","2023-12-15","be5f9256-3eb5-425a-9f13-77dad0ad0843","Code","C132352","Code_9","http://www.cdisc.org"
"Global","2023-12-15","307b7fea-1b52-41c5-8190-3d800590e5bf","Code","C68846","Code_10","http://www.cdisc.org"
"IRB/IEC Feedback","2023-12-15","d1972e61-b854-4736-b2ed-7aaba9230a91","Code","C99904x3","Code_72","http://www.cdisc.org"
"Other","2023-12-15","25b98c89-d737-4e31-a954-901fb9d85745","Code","C17649","Code_73","http://www.cdisc.org"
"Region","2023-12-15","e664b864-7ba4-4798-bed2-4cc768c32ed1","Code","C41129","Code_75","http://www.cdisc.org"
"Europe","2020-08","386bfbe9-981b-4ff9-9562-80b0c7ffd704","Code","150","Code_74","ISO 3166 1 alpha3"
"Eli Lilly","12","79aeb835-bc70-4dbb-9258-818766bd5ccf","Code","PHARMA","Code_4","SPONSOR"
"Clinical Study Sponsor","2023-12-15","3cb49b22-151f-41c1-9628-6e6d959d883d","Code","C70793","Code_76","http://www.cdisc.org"
"United States of America","2020-08","90142d22-426a-4c26-827e-35bb6065f1ae","Code","USA","Code_77","ISO 3166 1 alpha3"
"Study Registry","2023-12-15","78c6e5bc-8e52-4d33-bb0d-e287d047b021","Code","C93453","Code_78","http://www.cdisc.org"
"United States of America","2020-08","290c5d64-08d1-4078-bbf1-8ce5560db831","Code","USA","Code_79","ISO 3166 1 alpha3"
"Treatment Study","2023-12-15","9dcd886a-d007-4952-b713-ba258d08543b","Code","C49656","Code_137","http://www.cdisc.org"
"Efficacy Study","2023-12-15","cd90125b-d960-4ae2-ba11-4e8885b8e7eb","Code","C49666","Code_138","http://www.cdisc.org"
"Safety Study","2023-12-15","e6c5b07c-d0a6-470e-88bc-c99643ef1904","Code","C49667","Code_139","http://www.cdisc.org"
"Pharmacokinetic Study","2023-12-15","f085b737-845b-4032-b984-70c952496a9f","Code","C49663","Code_140","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","12","fd3603ab-3dc0-4c0e-8bf4-0e52f34677cf","Code","MILD_MOD_ALZ","Code_134","SPONSOR"
"Alzheimer's disease","January 31, 2018","c3ce8164-6c17-4adf-b3ae-332ff9328923","Code","26929004","Code_135","SNOMED"
"EXTENSION","2023-12-15","9c7cdb2f-aa8c-4b33-ba0f-5393d1443c16","Code","C99907x1","Code_143","http://www.cdisc.org"
"ADAPTIVE","2023-12-15","d1bbf469-22c5-4451-a4f5-fac930e4f28a","Code","C98704","Code_144","http://www.cdisc.org"
"Parallel Study","2023-12-15","0b838e1f-1c40-4bc0-ad3c-05c2eb52cabd","Code","C82639","Code_141","http://www.cdisc.org"
"Visit","2023-12-15","35cf7d62-cfc5-4ebe-b359-bbddc7e5a2a1","Code","C25716","Code_83","http://www.cdisc.org"
"Clinic","2023-12-15","ba340d23-8be1-4d01-b001-a6d6bbad5158","Code","C51282","Code_84","http://www.cdisc.org"
"In Person","2023-12-15","d98961bc-6303-4a5d-9150-394fb0ff7211","Code","C175574","Code_85","http://www.cdisc.org"
"Visit","2023-12-15","7cf65ef7-f889-4b9b-a8ef-f8cabe2abb91","Code","C25716","Code_86","http://www.cdisc.org"
"Clinic","2023-12-15","8b029aa0-cc89-4385-99ad-8ee8bd8da661","Code","C51282","Code_87","http://www.cdisc.org"
"In Person","2023-12-15","ce4a3a88-f376-4d75-953b-21a95cd93add","Code","C175574","Code_88","http://www.cdisc.org"
"Visit","2023-12-15","698682f7-4dfb-4d50-b7f8-6bc9ff955767","Code","C25716","Code_89","http://www.cdisc.org"
"Clinic","2023-12-15","e1159997-31c9-4127-92eb-fa6f486990e0","Code","C51282","Code_90","http://www.cdisc.org"
"In Person","2023-12-15","0f33bbff-7ca7-437f-86fe-13e04e4b5389","Code","C175574","Code_91","http://www.cdisc.org"
"Visit","2023-12-15","7e1c1641-566f-49ea-9fe0-c86aab6a1aed","Code","C25716","Code_92","http://www.cdisc.org"
"Clinic","2023-12-15","167be059-e6ef-4336-8491-e6cb42d4b490","Code","C51282","Code_93","http://www.cdisc.org"
"In Person","2023-12-15","01b79eff-b2aa-4e02-aa8f-619c1dda4ed6","Code","C175574","Code_94","http://www.cdisc.org"
"Visit","2023-12-15","ffaf8de5-8b15-4f19-91c9-f9839a8f8908","Code","C25716","Code_95","http://www.cdisc.org"
"Clinic","2023-12-15","bd2a92ec-c3ab-4d05-bf50-52101d18c96b","Code","C51282","Code_96","http://www.cdisc.org"
"In Person","2023-12-15","d2081b7d-fe2d-4d6f-a217-e0fc92dbb560","Code","C175574","Code_97","http://www.cdisc.org"
"Visit","2023-12-15","854db389-9c19-4c1d-b88f-4b2ecaab87ed","Code","C25716","Code_98","http://www.cdisc.org"
"Clinic","2023-12-15","58016166-3369-4223-8461-43e685c71b8b","Code","C51282","Code_99","http://www.cdisc.org"
"In Person","2023-12-15","c2f936a2-5313-4b25-a134-331a1e6326a7","Code","C175574","Code_100","http://www.cdisc.org"
"Visit","2023-12-15","6b3ad04e-11e6-4ac8-96fe-9106655099b0","Code","C25716","Code_101","http://www.cdisc.org"
"Clinic","2023-12-15","2c38bcf0-d696-466d-997e-2b5d4feec207","Code","C51282","Code_102","http://www.cdisc.org"
"In Person","2023-12-15","984bf348-1c26-4829-9fe3-c1375a8cff07","Code","C175574","Code_103","http://www.cdisc.org"
"Telephone Call","2023-12-15","f62b5275-60ea-4ad2-8133-c43535bc6f83","Code","C171537","Code_104","http://www.cdisc.org"
"Visit","2023-12-15","5793e8aa-7010-4849-9df6-d95a53f643df","Code","C25716","Code_105","http://www.cdisc.org"
"Clinic","2023-12-15","d35e4f48-3e05-4854-a554-fe633fa0e13c","Code","C51282","Code_106","http://www.cdisc.org"
"In Person","2023-12-15","e6c30d6b-c220-4466-a1a0-3a3699cd3c72","Code","C175574","Code_107","http://www.cdisc.org"
"Telephone Call","2023-12-15","04cc54ca-d182-42f7-b44b-431270ccae7d","Code","C171537","Code_108","http://www.cdisc.org"
"Visit","2023-12-15","88ea1abc-33f7-4420-a49b-18a136ae272a","Code","C25716","Code_109","http://www.cdisc.org"
"Clinic","2023-12-15","89755c35-a4a8-4512-89b3-a33810458efb","Code","C51282","Code_110","http://www.cdisc.org"
"In Person","2023-12-15","e3c28816-3fa8-4db1-aeae-c32453125aca","Code","C175574","Code_111","http://www.cdisc.org"
"Telephone Call","2023-12-15","b3174b07-117b-4469-9671-caf75af49c09","Code","C171537","Code_112","http://www.cdisc.org"
"Visit","2023-12-15","53183fe0-8384-459b-8288-be64e1aa045b","Code","C25716","Code_113","http://www.cdisc.org"
"Clinic","2023-12-15","041955f8-6449-4642-9f97-168c870e6e96","Code","C51282","Code_114","http://www.cdisc.org"
"In Person","2023-12-15","794dd4d6-37ed-45c3-b617-a1cf093c0973","Code","C175574","Code_115","http://www.cdisc.org"
"Telephone Call","2023-12-15","d2b13fb4-ee68-4d7e-bf58-44d2eebea42e","Code","C171537","Code_116","http://www.cdisc.org"
"Visit","2023-12-15","a9766c41-0a60-4669-be88-b8ead9f502cc","Code","C25716","Code_117","http://www.cdisc.org"
"Clinic","2023-12-15","6d0427da-fefd-4a60-9db1-33aa29b1cdca","Code","C51282","Code_118","http://www.cdisc.org"
