"name","uuid:ID","description","instanceType","id","label"
"SCREEN1","0202fae2-19dd-4411-b52b-4c1bb7c2aa6e","-","ScheduledActivityInstance","ScheduledActivityInstance_9","Screen One"
"SCREEN2","11e91082-ab0d-497d-ace7-7daa3d987391","-","ScheduledActivityInstance","ScheduledActivityInstance_10","Screen Two"
"DOSE","b70fd53e-8e50-4f44-882b-351e64facaef","-","ScheduledActivityInstance","ScheduledActivityInstance_11","Dose"
"WK2","ef143703-0b4b-4a64-a720-00d9f760f0a0","-","ScheduledActivityInstance","ScheduledActivityInstance_12","Week 2"
"WK4","b11b9eac-193e-49a6-aea1-080855990c6f","-","ScheduledActivityInstance","ScheduledActivityInstance_13","Week 4"
"WK6","173c5ba2-709e-4a80-be7c-c5538a2a4f99","-","ScheduledActivityInstance","ScheduledActivityInstance_14","Week 6"
"WK8","88ae03ee-4736-4781-8070-4d16ee709712","-","ScheduledActivityInstance","ScheduledActivityInstance_15","Week 8"
"WK8N","e08df429-fa11-4bc0-a60a-047b2e2245c9","-","ScheduledActivityInstance","ScheduledActivityInstance_16","Week NPI"
"WK12","e46af027-8d4f-4ada-8c58-b27cc3ad1684","-","ScheduledActivityInstance","ScheduledActivityInstance_17","Week 12"
"WK12N","8033aeb1-2a49-4280-add7-1c2179b2576e","-","ScheduledActivityInstance","ScheduledActivityInstance_18","Week 12 NPI"
"WK16","385c15d0-0955-4397-9be4-6f38bef669e2","-","ScheduledActivityInstance","ScheduledActivityInstance_19","Week 16"
"WK16N","79b23dbb-97a2-4b3d-a433-46e1acfef4ca","-","ScheduledActivityInstance","ScheduledActivityInstance_20","Week 16 NPI"
"WK20","6891ecdf-8f73-4cca-9d1b-354e14a3c816","-","ScheduledActivityInstance","ScheduledActivityInstance_21","Week 20"
"WK20N","f1819500-4dde-4359-a409-2421ee6ded00","-","ScheduledActivityInstance","ScheduledActivityInstance_22","Week 20 NPI"
"WK24","9cff8a65-f2e3-4fed-b2fa-454e83d8f7ad","-","ScheduledActivityInstance","ScheduledActivityInstance_23","Week 24"
"WK26","4a21cd49-1cac-4a66-8bd8-489570bdb2a8","-","ScheduledActivityInstance","ScheduledActivityInstance_24","Week 26"
"AE","cbef4b1c-ae5e-4acd-af0a-68b2928e0fe3","-","ScheduledActivityInstance","ScheduledActivityInstance_1","Adevers Event"
"ET","45857dee-15c5-43a4-813b-c0e3cedd1406","-","ScheduledActivityInstance","ScheduledActivityInstance_2","Early Termination"
"VS_5MIN","7fa6631c-bdb9-4c65-aa48-454baf24f969","","ScheduledActivityInstance","ScheduledActivityInstance_3","5 minute supine"
"VS_SUPINE","c6f15ab0-80c9-466c-8638-acd6c0c2df04","","ScheduledActivityInstance","ScheduledActivityInstance_4","Vital signs supine"
"VS_1MIN","1923f96e-3cdd-4a3a-9b93-f6b2d210363e","","ScheduledActivityInstance","ScheduledActivityInstance_5","1 minute standing"
"VS_STAND1","b8e9e545-d1cf-42e5-bfd4-8f439b35a40c","","ScheduledActivityInstance","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"VS_2MIN","e9266737-b850-4bb5-a3ce-5cb2d5d5319c","","ScheduledActivityInstance","ScheduledActivityInstance_7","2 minute standing"
"VS_STAND3","e73b7147-dd36-45ab-bb03-f7eaad0e336f","","ScheduledActivityInstance","ScheduledActivityInstance_8","Vital signs after 3 min standing"
