"name","reference","uuid:ID","instanceType","synonyms","id","label"
"Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","3374967b-8eb9-4c77-9b67-e716372af9fe","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","Informed Consent Obtained"
"Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","d12f17f7-9ce2-4f7f-8cbc-f50c388aad87","BiomedicalConcept","","BiomedicalConcept_21","Sex"
"Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","95469fa3-5db6-460d-926c-21f5db400723","BiomedicalConcept","['Racial Group']","BiomedicalConcept_22","Race"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","26c86628-7598-409b-9383-9978bd2df4f0","BiomedicalConcept","['Temperature', 'Body Temperature']","BiomedicalConcept_23","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","a6d9607b-594f-4f47-a9eb-09343fa797fe","BiomedicalConcept","['Weight', 'Body Weight']","BiomedicalConcept_24","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","b1c9270b-e5c3-4747-b9a7-281bb87af111","BiomedicalConcept","['Height', 'Body Height']","BiomedicalConcept_25","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","28a88610-bd73-4ee5-bad2-ce150dc1ee33","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","058d337d-8789-415e-bff1-5452c7f15607","BiomedicalConcept","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","7e9e409b-6aec-42c5-bfd0-6db690aa9cef","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","129d0508-33e5-4490-94a6-ea209f5e9907","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","a6b5af02-1640-4289-9098-c2f7310621b8","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","40c8bea2-1b43-4c46-b668-7c91c3cc643d","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","4fae0f08-b34e-4b21-acb2-21e53c212110","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","a67209c9-0be3-4e58-9a86-0eb0d0eea497","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","d143774d-07fd-427b-ab89-1ccc50fa4327","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","d7248543-5c62-4b60-a558-9f197f712f9d","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","43ba2c98-074b-44be-9fa9-a218764c5d7c","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","fe781ba8-f4f9-46a4-9400-cc18ae0a6ea4","BiomedicalConcept","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","e21f67a1-38a0-497b-9514-0c27c3ff2a3f","BiomedicalConcept","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","b362a108-814d-476f-ad98-fdf44d3b568c","BiomedicalConcept","['Height', 'Body Height']","BiomedicalConcept_6","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","758b30b3-822c-4aa2-ab31-1867579a6b5f","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","f2f05559-1171-44fe-8cca-6fb22c20a589","BiomedicalConcept","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","c45c1d7d-b031-41e6-a9d9-af94d03e58c7","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","5c10c172-327a-466d-9df3-2c683b1b05e6","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","fd39d913-e4de-4de3-8865-361dbfd54837","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","c9cf72ca-a493-43ae-9a9d-1e0d8864196d","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","b5eb00fa-e0f5-4c0f-838e-7f46a7e77e34","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","b26b221c-4758-4b0c-96e3-4686e6481651","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","0141bcf4-add9-4be6-a6bc-dd1773889e62","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","40a599e5-0c2e-4625-8aa7-173e745de6d5","BiomedicalConcept","['Heart Rate']","BiomedicalConcept_16","Heart Rate"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","ed813705-d0d7-471d-8bf8-097828d4da71","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","7f2e1512-752a-4829-929e-92a617c62bb2","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","ba600abf-e9bb-4076-950d-30b790863b23","BiomedicalConcept","['Heart Rate']","BiomedicalConcept_19","Heart Rate"
