"name","valueLabel","windowLabel","windowLower","uuid:ID","description","instanceType","windowUpper","id","value","label"
"TIM1","2 weeks","","","ac6e6dfb-66b0-475a-871e-580b474c7721","Screening timing","Timing","","Timing_1","P2W","Screening"
"TIM2","2 days","-4..0 hours","PT4H","fc7d1405-5a69-47d2-b80e-80926f9efaa6","Pre dose timing","Timing","PT0H","Timing_2","P2D","Pre dose"
"TIM3","1 Day","","","f2824f59-2199-4e6c-895c-1afd94865cba","Dosing anchor","Timing","","Timing_3","P1D","Dosing"
"TIM4","2 Weeks","-3..3 days","P3D","1a2da1c4-a915-4d3a-a005-dc8dc4a85896","Week 2 timing","Timing","P3D","Timing_4","P2W","Week 2"
"TIM5","4 Weeks","-3..3 days","P3D","b0c52ce5-d3cf-466a-afcb-5e73e795a4d5","Week 4 timing","Timing","P3D","Timing_5","P4W","Week 4"
"TIM6","6 Weeks","-3..3 days","P3D","a6b15dc4-0ed4-4bd8-a06b-de68ceaf277e","Week 6 timing","Timing","P3D","Timing_6","P6W","Week 6"
"TIM7","8 Weeks","-3..3 days","P3D","1faae391-4d42-486c-8b3d-98f8d26bf75e","Week 8 timing","Timing","P3D","Timing_7","P8W","Week 8"
"TIM9","12 Weeks","-4..4 days","P4D","ae641d89-25f9-4471-aee7-a4711550ba47","Week 12 timing","Timing","P4D","Timing_9","P12W","Week 12"
"TIM11","16 Weeks","-4..4 days","P4D","e69c1130-7b44-46e9-9454-0d81b8b368e9","Week 16 timing","Timing","P4D","Timing_11","P16W","Week 16"
"TIM13","20 Weeks","-4..4 days","P4D","b1cb5070-32e0-4878-9dcb-5fccbecb63d1","Week 20 timing","Timing","P4D","Timing_13","P20W","Week 20"
"TIM15","24 Weeks","-4..4 days","P4D","0a087b12-a9f9-4bdf-a2ac-05f1bab453c4","Week 24 timing","Timing","P4D","Timing_15","P24W","Week 24"
"TIM16","26 Weeks","-3..3 days","P3D","a9642c65-62f3-43fb-8ce0-3d73dab4018f","Week 26 timing","Timing","P3D","Timing_16","P26W","Week 26"
"TIM8","2 Weeks","","","d86d6689-895a-4868-9e7c-33b04dd766e6","Week 8 at home timing","Timing","","Timing_8","P2W","Week 8 Home"
"TIM10","2 Weeks","","","538b77db-4957-4583-bad9-aa529a6a29f9","Week 12 at home timing","Timing","","Timing_10","P2W","Week 12 Home"
"TIM12","2 Weeks","","","aa09fb83-e139-4603-9ba2-0c26dc03228a","Week 16 at home timing","Timing","","Timing_12","P2W","Week 16 Home"
"TIM14","2 Weeks","","","1cdd026e-6f02-4dbb-940c-3a15a37cbd30","Week 20 at home timing","Timing","","Timing_14","P2W","Week 20 Home"
"TIM17","1 Day","","","82d79a71-1c59-4744-ae66-e89d6e48b8db","Adverse Event","Timing","","Timing_17","P1D","Adverse Event"
"TIM18","1 Day","","","891aa476-e00e-462b-b6a6-e63c34af96cd","Early Termination","Timing","","Timing_18","P1D","Early Termination"
"TIM19","0 mins","","","6bb1aaaa-c9b5-4793-aef1-b4c7343ebc76","Supine","Timing","","Timing_19","PT0M","Supine"
"TIM20","5 mins","","","5f8e5600-57df-40a7-ae81-c4af0f071280","VS while supine","Timing","","Timing_20","PT5M","VS while supine"
"TIM21","0 min","","","75c938c4-b21c-4216-b2cd-9af16b238a8a","Standing","Timing","","Timing_21","PT0M","Standing"
"TIM22","1 min","","","11003540-b036-428d-8b27-f08ed68e379f","VS while standing","Timing","","Timing_22","PT1M","VS while standing"
"TIM23","0 min","","","20cc0ce7-cbf6-44af-ac49-93a3c3bfc45c","Standing","Timing","","Timing_23","PT0M","Standing"
"TIM24","2 min","","","46aa1b9c-691a-43b2-912b-3d3bbe596175","VS while standing","Timing","","Timing_24","PT2M","VS while standing"
