"name","uuid:ID","sectionNumber","text","sectionTitle","id"
"ROOT","5900d585-8c2a-4141-ba79-3e80751eb4e2","0","","Root","NarrativeContent_1"
"SECTION 1","d8247a1c-0c37-4162-b303-b5614ee47fc5","1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","NarrativeContent_2"
"SECTION 1.1","a46bece7-c262-4666-bcd4-86b8ca8dcf72","1.1","<div></div>","Protocol Synopsis","NarrativeContent_3"
"SECTION 1.2","6008b034-cef5-4294-904b-989a1d6d67c7","1.2","<div></div>","Trial Schema","NarrativeContent_4"
"SECTION 1.3","5156fed7-cd55-4e00-a36c-35c093f4b803","1.3","<div></div>","Schedule of Activities","NarrativeContent_5"
"SECTION 2","dde43784-8682-435c-a42b-01de17ef1578","2","<div></div>","INTRODUCTION","NarrativeContent_6"
"SECTION 2.1","9953a43e-d08a-43fa-abbe-f998b8bc8b2f","2.1","<div></div>","Purpose of Trial","NarrativeContent_7"
"SECTION 2.2","50ffd070-56ff-447c-b929-b8c75d79b1d3","2.2","<div></div>","Summary of Benefits and Risks","NarrativeContent_8"
"SECTION 3","2a3b1f27-3558-4e38-9e92-5b9cd82a24e3","3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9"
"SECTION 3.1","6d360a5e-7f5d-4d12-8b75-7a41b3952bf6","3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","NarrativeContent_10"
"SECTION 4","4c568347-11ae-4b2e-b3ee-9d8057f53bdd","4","<div></div>","TRIAL DESIGN","NarrativeContent_11"
"SECTION 4.1","75e959f2-3c88-47db-91fe-3c764fc39e70","4.1","<div></div>","Description of Trial Design","NarrativeContent_12"
"SECTION 4.1.1","631f2da3-3956-4c04-91a6-fdc4561aeb35","4.1.1","<div></div>","Participant Input into Design","NarrativeContent_13"
"SECTION 4.2","06479cad-afb1-4f99-82c7-a9b2c4142b50","4.2","<div></div>","Rationale for Trial Design","NarrativeContent_14"
"SECTION 4.2.1","200ab7d7-7752-4f3c-a91f-9bebc6c80bcd","4.2.1","<div></div>","Rationale for Comparator","NarrativeContent_15"
"SECTION 4.2.2","1111929a-0453-49c1-8eaf-0f7fc23f1df5","4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design","NarrativeContent_16"
"SECTION 4.2.3","6d57096c-e6a6-444b-9238-baa60f4478cd","4.2.3","<div></div>","Other Trial Design Considerations","NarrativeContent_17"
"SECTION 4.3","5caa37fd-5291-41e1-bd8c-653cf8c57af9","4.3","<div></div>","Access to Trial Intervention After End of Trial","NarrativeContent_18"
"SECTION 4.4","507de9e7-ff9f-4316-b388-4930beb5d1e7","4.4","<div></div>","Start of Trial and End of Trial","NarrativeContent_19"
"SECTION 5","b4d19adf-b786-4cf5-ba21-ce47d3590b9b","5","<div></div>","TRIAL POPULATION","NarrativeContent_20"
"SECTION 5.1","f1640454-fd9c-4d59-989a-67ab07c8a4b2","5.1","<div></div>","Selection of Trial Population","NarrativeContent_21"
"SECTION 5.2","bf2e1ea8-7404-4243-b526-66d405e15573","5.2","<div></div>","Rationale for Trial Population","NarrativeContent_22"
