"description","name","uuid:ID","text","instanceType","purpose","label","id"
"","END1","9a3cb132-1dd8-4192-804a-8443dca55211","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT","","","Endpoint_1"
"","END2","b6916230-e9a8-47fb-8b6f-8efa14c8b0b7","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT","","","Endpoint_2"
"","END3","9f31b5e3-7798-4ae9-94a7-b36a53ce473b","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT","","","Endpoint_3"
"","END4","fc48b44f-0a71-4dfd-ba48-4b904220a819","Incidence of mechanical ventilation","ENDPOINT","","","Endpoint_4"
"","END5","edf4cb1c-7af7-4a7a-9d33-a78e5e0b1f05","Ventilator-free days to Day 28","ENDPOINT","","","Endpoint_5"
"","END6","f56372b5-3b7e-4e4e-b606-7231526a35ca","Incidence of intensive care unit (ICU) stay","ENDPOINT","","","Endpoint_6"
"","END7","eb39ec03-b951-4e49-aa4d-14355773e99c","Duration of ICU stay","ENDPOINT","","","Endpoint_7"
"","END8","1be4eaad-e402-4282-ae7d-f815eca768b9","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT","","","Endpoint_8"
"","END9","0c6be03c-36cd-4e3e-99e9-5f9169de69c7","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT","","","Endpoint_9"
"","END10","9f7f7acb-d704-4e83-bea4-c5d07a2036f7","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT","","","Endpoint_10"
"","END11","e2df0122-fae1-4ba7-99ff-17cb732a8745","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT","","","Endpoint_11"
"","END12","6de62cf0-8d10-4a61-a0cb-93e7b4519495","Duration of supplemental oxygen","ENDPOINT","","","Endpoint_12"
