"decode","uuid:ID","codeSystemVersion","id","codeSystem","code"
"Interventional Study","25413e92-c902-4d54-94a6-92723a0c182b","2023-09-29","Code_1","http://www.cdisc.org","C98388"
"Phase III Trial","8af6d58b-337b-4b44-bd36-d0d7b089a251","2023-09-29","Code_2","http://www.cdisc.org","C15602"
"Sponsor Approval Date","94edb478-52b1-46cd-8a12-d540a6bf32aa","2023-09-29","Code_6","http://www.cdisc.org","C132352"
"Global","aa33523e-42b0-432c-ab9a-df33efa6a706","2023-09-29","Code_7","http://www.cdisc.org","C68846"
"Vacines Group","4f8bc10d-e97c-4477-8891-5044d4645144","12","Code_3","SPONSOR","VAC"
"Regulatory","6ff1d61c-90db-4781-9f4e-fb9ed34c2a07","12","Code_4","SPONSOR","REG"
"Study Registry","49d17092-a51c-4ebb-8878-578aaa8bf464","2023-09-29","Code_10","http://www.cdisc.org","C93453"
"United Kingdom of Great Britain and Northern Ireland","5a804aa3-9f01-42cd-943e-540391a4cb6d","2020-08","Code_11","ISO 3166 1 alpha3","GBR"
"Clinical Study Sponsor","63547f2b-d257-4515-a29d-4526e54ca45a","2023-09-29","Code_12","http://www.cdisc.org","C70793"
"France","1da565d1-4247-4d0a-9365-bda090362a2e","2020-08","Code_13","ISO 3166 1 alpha3","FRA"
"Basic Research","34a29844-0265-4ba2-9578-4430890c0fe3","2023-09-29","Code_42","http://www.cdisc.org","C15714"
"Device Feasibility Study","37620b33-9d60-4e31-a280-2f02bda05a9a","2023-09-29","Code_43","http://www.cdisc.org","C139174"
"Efficacy Study","12b8c872-2d3c-477c-9fc0-e55a7ca46505","2023-09-29","Code_44","http://www.cdisc.org","C49666"
"Type 2 diabetes","b3ac239f-58a6-4f86-902e-a05542d5cacb","12","Code_39","SPONSOR","T2_DIABETES"
"Diabetes mellitus (disorder)","20225f44-c226-4c04-b6e8-4879318fd857","January 31, 2018","Code_40","SNOMED","73211009"
"Parallel Study","637ec417-3e62-4f75-a93e-7201bbe27f45","2023-09-29","Code_45","http://www.cdisc.org","C82639"
"Visit","c1f17a47-361d-49de-8fa0-868c74169616","2023-09-29","Code_16","http://www.cdisc.org","C25716"
"Clinic","bd1a4641-da0b-4db0-9be4-02f96ae54d9f","2023-09-29","Code_17","http://www.cdisc.org","C51282"
"In Person","f0ee2485-009e-4b40-bd69-0ab646e82a9c","2023-09-29","Code_18","http://www.cdisc.org","C175574"
"Visit","aae695f3-6497-41e7-87dc-01c52183068c","2023-09-29","Code_19","http://www.cdisc.org","C25716"
"Clinic","c5577f47-cc17-4b49-bab6-b415dee8f5e3","2023-09-29","Code_20","http://www.cdisc.org","C51282"
"In Person","8e33a94e-7807-4db1-a848-276bb7e18e48","2023-09-29","Code_21","http://www.cdisc.org","C175574"
"Visit","161c4ac2-f4e8-461e-ac1d-0f3d1ae0c2a1","2023-09-29","Code_22","http://www.cdisc.org","C25716"
"Clinic","9497e580-6605-4d6f-a9f0-0b5b0cf8675b","2023-09-29","Code_23","http://www.cdisc.org","C51282"
"In Person","be4a4c59-530d-46e2-8d31-bd054fa35b1b","2023-09-29","Code_24","http://www.cdisc.org","C175574"
"Visit","1761896a-97a8-48e7-823f-4a8fcfb25b98","2023-09-29","Code_25","http://www.cdisc.org","C25716"
"Clinic","aa37f747-d9b3-41fa-bc6b-b367686b3bb0","2023-09-29","Code_26","http://www.cdisc.org","C51282"
"In Person","43a40e85-73d7-41e4-bef9-6740f03cf430","2023-09-29","Code_27","http://www.cdisc.org","C175574"
"Visit","884d5e8b-1a0a-47c8-96c1-23706e27d0bf","2023-09-29","Code_28","http://www.cdisc.org","C25716"
"Home","f9405a1a-fd81-4430-b9f7-950a93c3ea85","2023-09-29","Code_29","http://www.cdisc.org","C18002"
"Telephone Call","9eb5930c-b7fc-40d2-967c-01367636438f","2023-09-29","Code_30","http://www.cdisc.org","C171537"
"Male","538befa3-647f-4d57-8605-5af0d4137eda","2023-09-29","Code_72","http://www.cdisc.org","C20197"
"Female","83068ca4-14aa-4604-9070-cc69ab9e581d","2023-09-29","Code_73","http://www.cdisc.org","C16576"
