"instanceType","text","id","name","uuid:ID"
"TransitionRule","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1","b58bf7d2-30cb-45e7-ad6e-b70f52a4078d"
"TransitionRule","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1","3008e934-179a-4ff7-8d80-292b8700e71c"
"TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2","720be117-46b2-4e38-aa1f-5e35e1765b4c"
"TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3","a75c01da-6e88-4014-8fb5-aa5dd2d9f975"
"TransitionRule","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3","ddaf186a-e9b2-4a77-ab57-e40b33896090"
"TransitionRule","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12","a750faf6-14ec-4217-8aff-e8c8bb4b97d4"
"TransitionRule","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1","709d242f-7c6d-4b94-9c2f-78f90d99987b"
"TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1","988e14d6-a099-46e7-828d-80e231134428"
"TransitionRule","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2","565dc33b-cab0-4380-bca1-f0ea15a5b7a8"
"TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7","7965efa5-75d8-472c-bd69-67cdf4927c26"
"TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7","6caf66ac-d1ba-45ee-bf78-74278847b7ff"
"TransitionRule","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3","13afea28-f613-48fb-a934-5fafb2736c86"
"TransitionRule","Randomized","TransitionRule_11","ELEMENT_START_RULE_4","edc8d362-b103-4b0e-88f1-05410b2090f4"
"TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5","6942cbbe-d4ca-45fc-b926-1359db7cd6b3"
"TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6","343f4b36-301a-4946-aab5-5c509443c3c7"
